"","year","month","plant_ID","customer_ID","material_type_ID","market_code","final_fc","_2_month_lag_fc","_1_month_lag_fc"
"81",2018,2,1,6,1,1,5603.145,0,0
"82",2021,10,1,2,2,2,5556.753,8450.74,9020.305
"83",2021,1,1,3,2,2,5539.4295,0,0
"84",2020,2,1,1,1,1,5522.6355,0,0
"85",2021,3,1,14,1,7,5515.1255,0,3297
"86",2019,10,1,6,1,1,5495.6435,3656.5,4859.5
"87",2018,8,1,3,1,2,5489.921,5268,5474.555
"88",2020,12,1,3,1,2,5443.467,4912.1095,6139.1975
"89",2020,7,1,2,2,2,5413.7115,5183.6735,6024.3465
"90",2018,12,1,2,2,2,5365.025,6541.7995,7293.806
"91",2021,4,1,3,2,2,5330.614,6425.15,7480.42
"92",2021,5,1,13,4,6,5291.6995,2750,2750
"93",2020,8,1,3,1,2,5270.1345,4317.6345,5030.7705
"94",2020,9,1,3,1,2,5269.6755,4151.7485,5019.071
"95",2021,1,1,8,1,1,5268.085,0,0
"96",2021,9,1,8,1,1,5255.615,0,3757.5
"97",2018,10,1,6,1,1,5253.0235,3371,3258.5
"98",2019,10,1,3,2,2,5210.8005,4041.55,4721.5125
"99",2020,6,1,2,2,2,5209.319,5613.7505,5373.08
"100",2021,9,1,3,2,2,5189.896,5905.8375,6555.889
"101",2020,1,1,7,1,1,5186.496,0,0
"102",2019,11,1,2,2,2,5181.4975,4946.3,5290.7655
"103",2019,8,1,3,1,2,5173.4495,5019.516,5448.17
"104",2018,4,1,3,2,2,5171.39,3836.65,4217.15
"105",2022,2,1,14,1,7,5167.595,0,0
"106",2020,10,1,10,1,1,5094.6125,5094.6125,5094.6125
"107",2021,11,1,3,2,2,5063.2635,6027.377,5975.377
"108",2021,12,1,2,2,2,5055.816,5850.2415,10409.474
"109",2018,7,1,5,1,4,5052.9725,2560,4465
"110",2021,10,1,8,1,1,5043.49,0,0
"111",2021,5,1,3,2,2,5043.1545,6504.75,6706
"112",2018,6,1,3,1,2,5035.179,5212.6,5407.5
"113",2018,3,1,3,2,2,5013.5665,0,4446.25
"114",2018,10,1,3,1,2,4994.3665,5432.392,6085.155
"115",2019,3,1,3,1,2,4968.1545,0,5078.0075
"116",2019,6,1,3,1,2,4965.893,4931.887,5011.99
"117",2020,3,1,2,2,2,4952.451,0,6797.8875
"118",2019,11,1,3,1,2,4919.825,4649.31,4558.4605
"119",2021,4,1,14,1,7,4918.83,0,2760
"120",2020,11,1,6,1,1,4888.9075,1802.5,3145
"121",2019,9,1,3,1,2,4868.708,5541.7695,6149.4195
"122",2019,5,1,3,1,2,4862.6815,5090.68,4919.4615
"123",2020,1,1,3,2,2,4839.0785,0,0
"124",2021,10,1,3,2,2,4828.759,5918.277,6703.44
"125",2018,4,1,3,1,2,4801.509,4867.85,5081.95
"126",2021,8,1,3,2,2,4789.356,5998.45,6870.8535
"127",2020,2,1,3,1,2,4721.4995,0,0
"128",2021,5,1,8,1,1,4721.01,0,2115
"129",2020,4,1,6,1,1,4696.9645,3075,3075
"130",2020,3,1,6,1,1,4664.197,0,3989.5
"131",2018,11,1,6,1,1,4660.8465,0,3454
"132",2021,8,1,8,1,1,4658.79,0,0
"133",2020,6,1,6,1,1,4637.0475,3337.5,3525
"134",2018,6,1,3,2,2,4623.0395,4483.25,4384
"135",2019,1,1,3,1,2,4605.4045,0,0
"136",2018,5,1,3,1,2,4581.9765,4786,5410.1
"137",2018,9,1,3,1,2,4575.4265,5010.05,5137.483
"138",2018,11,1,3,1,2,4570.755,4980.1935,5043.305
"139",2020,5,1,6,1,1,4567.6525,3562.5,3337.5
"140",2021,6,1,3,2,2,4561.0685,5846.2,6300.195
"141",2020,7,1,3,1,2,4540.6585,4316.352,4388.77
"142",2021,9,1,6,1,1,4534.075,3637.5,3637.5
"143",2020,2,1,12,1,1,4496.85,0,0
"144",2018,3,1,3,1,2,4483.315,0,4678.5
"145",2021,2,1,6,1,1,4472.2995,0,0
"146",2019,11,1,1,1,1,4469.04,0,750
"147",2019,4,1,3,1,2,4468.542,5183.315,5864.75
"148",2020,9,1,10,1,1,4454.8165,4454.8165,4454.8165
"149",2019,9,1,3,2,2,4394.2395,4485.3,4910.3275
"150",2018,1,1,3,2,2,4383.548,0,0
"151",2021,7,1,3,2,2,4371.1595,5803.7,6105.6265
"152",2019,5,1,6,1,1,4350.9215,0,3712.5
"153",2019,7,1,3,1,2,4325.529,4743.1,4434.96
"154",2018,10,1,3,2,2,4315.9195,4843.779,5528.95
"155",2019,8,1,3,2,2,4287.914,4111.5725,4460.5725
"156",2018,3,1,5,1,4,4237.9075,0,4815
"157",2019,4,1,3,2,2,4236.053,4390.75,4767.45
"158",2018,4,1,11,1,1,4235.297,2375.0005,2832.0005
"159",2020,12,1,14,1,7,4218.35,0,2350.5
"160",2019,11,1,6,1,1,4181.763,3509.5,3397
"161",2019,2,1,3,1,2,4176.029,0,0
"162",2018,3,1,11,1,1,4171.7305,0,3725.0015
"163",2018,8,1,3,2,2,4155.42,4565,5188.5
"164",2020,8,1,10,1,1,4137.6495,3326.1085,4137.6495
"165",2018,5,1,3,2,2,4122.315,3557.75,4545
"166",2021,4,1,11,1,1,4100.02,0,3057.001
"167",2021,1,1,18,1,1,4100,0,0
"168",2021,6,1,11,1,1,4099.0315,0,3632
"169",2020,2,1,3,2,2,4088.531,0,0
"170",2019,7,1,3,2,2,4081.322,3645.85,3759.8
"171",2018,8,1,11,1,1,4076.0255,2375.0005,1645
"172",2018,2,1,3,2,2,4041.4665,0,0
"173",2019,6,1,3,2,2,4039.9475,4060.682,3854.7975
"174",2021,12,1,3,2,2,4031.459,5228.5,4828
"175",2018,6,1,19,1,6,4025.39,1610,3091.5
"176",2018,3,1,6,1,1,4020.263,0,3080
"177",2021,11,1,16,4,1,4019.5015,3486.001,3561.0005
"178",2020,12,1,10,1,1,3980,3773.6535,3980
"179",2020,11,1,14,1,7,3971.025,0,1560
"180",2020,10,1,8,1,1,3970.65,0,4173.75
"181",2019,5,1,3,2,2,3949.78,3589.75,3438.8145
"182",2021,8,1,16,4,1,3921.0595,4292.9985,4375
"183",2021,2,1,8,1,1,3902.0295,0,0
"184",2018,2,1,3,1,2,3901.764,0,0
"185",2019,2,1,3,2,2,3887.892,0,0
"186",2019,12,1,3,1,2,3880.636,4330.3865,3744.1495
"187",2020,11,1,10,1,1,3879.5,4659.093,4659.093
"188",2019,1,1,6,1,1,3875.2235,0,0
"189",2021,6,1,10,1,1,3869.911,3869.911,3869.911
"190",2021,7,1,8,1,1,3844.221,0,0
"191",2019,11,1,3,2,2,3840.358,3505.7,3818.05
"192",2020,12,1,3,2,2,3828.0855,3345.75,3746.25
"193",2020,10,1,3,2,2,3825.8845,3146.1,3906.6675
"194",2018,9,1,3,2,2,3811.096,4103.75,4033.7755
"195",2021,1,1,10,1,1,3808.8715,0,0
"196",2020,11,1,3,2,2,3801.227,3221,4276
"197",2020,7,1,13,4,6,3796.6515,0,1360
"198",2021,5,1,11,1,1,3787.4995,0,3077
"199",2018,7,1,3,1,2,3786.5705,5276.35,5500
"200",2021,10,1,16,4,1,3775.6645,4305.9995,4137.8005
"201",2018,7,1,3,2,2,3769.1595,4168.25,4535.5
"202",2020,1,1,12,1,1,3768.31,0,0
"203",2021,1,1,6,1,1,3753.85,0,0
"204",2018,1,1,3,1,2,3745.859,0,0
"205",2019,4,1,6,1,1,3732.7005,0,3000
"206",2021,3,1,13,4,6,3715,0,1700
"207",2019,3,1,3,2,2,3704.9365,0,3804.5
"208",2019,1,1,3,2,2,3693.6575,0,0
"209",2018,5,1,19,1,6,3675.993,1859.9995,1530
"210",2020,7,1,11,1,1,3668.9995,0,1644
"211",2021,2,1,10,1,1,3655.4825,0,0
"212",2018,5,1,11,1,1,3648,2425,1407.4985
"213",2020,8,1,3,2,2,3636.791,3000.1845,3586.82
"214",2022,2,1,8,1,1,3622.5,0,0
"215",2021,12,1,8,1,1,3622.5,0,3622.5
"216",2020,8,1,6,1,1,3593.0515,0,5115
"217",2018,11,1,3,2,2,3580.677,4069,4179.045
"218",2021,1,1,14,1,7,3576.485,0,0
"219",2018,6,1,5,1,4,3568.505,3700,5662.5
"220",2021,8,1,10,1,1,3565.9275,4573.3975,4573.3975
"221",2022,2,1,10,1,1,3560,0,0
"222",2021,7,1,10,1,1,3546.2175,4359.7845,4359.7845
"223",2020,9,1,3,2,2,3539.8755,3166.6,3854.1
"224",2021,9,1,16,4,1,3536.4015,4492.9995,4467.5
"225",2019,12,1,2,2,2,3518.663,3886.9315,4139.05
"226",2020,7,1,3,2,2,3515.1215,3263.85,3219.58
"227",2022,1,1,10,1,1,3514.61,0,0
"228",2022,1,1,1,1,1,3486.0395,0,0
"229",2021,10,1,14,1,7,3473.56,120,2767.2
"230",2018,10,1,5,1,4,3464.3875,3747.5,3320
"231",2020,3,1,12,1,1,3447.4,0,4477.5
"232",2021,7,1,14,1,7,3433.91,384,384
"233",2021,3,1,10,1,1,3432.708,0,3252.6815
"234",2021,7,1,7,1,1,3412.837,875,875
"235",2021,5,1,10,1,1,3399.597,4015.001,3834.91
"236",2021,3,1,6,1,1,3392.117,0,1375
"237",2018,11,1,5,1,4,3387.486,5875,5065
"238",2020,7,1,10,1,1,3387.4025,3033.0085,3033.0085
"239",2020,7,1,5,1,4,3376.82,2570,3470
"240",2021,2,1,22,1,1,3354.3525,0,0
"241",2018,6,1,11,1,1,3339.443,2425.0005,1530.0005
"242",2020,6,1,10,1,1,3336.856,3024.6105,2722.1495
"243",2021,4,1,10,1,1,3336.205,3241.4355,3052
"244",2021,9,1,10,1,1,3319.8225,4863.0105,4863.0105
"245",2018,9,1,11,1,1,3318.5165,2374.999,2833.8975
"246",2020,6,1,5,1,4,3291.9875,3475,4145
"247",2019,2,1,6,1,1,3285.704,0,0
"248",2020,8,1,12,1,1,3264.54,0,4750
"249",2021,3,1,22,1,1,3262.6325,0,1800
"250",2018,4,1,6,1,1,3252,3190,4026
"251",2018,12,1,6,1,1,3250.1815,0,2887.5
"252",2020,8,1,18,1,1,3240,1320,2280
"253",2018,8,1,19,1,6,3229.715,1640,1360
"254",2021,11,1,10,1,1,3185.909,5060.4845,5058.399
"255",2019,11,1,18,1,1,3174.038,1622.5,3361
"256",2021,12,1,1,1,1,3164.0775,0,0
"257",2020,3,1,3,1,2,3155.4715,0,5769.043
"258",2021,8,1,20,1,1,3143.735,1832.5,1827.5
"259",2021,1,1,11,1,1,3139.219,0,0
"260",2021,6,1,6,1,1,3139.038,2550,2750
"261",2021,12,1,16,4,1,3130.6855,3266.0005,4298.9995
"262",2018,6,1,1,1,1,3122.965,1234.5,1235
"263",2019,4,1,19,1,6,3087.3965,2579.9995,2882.5
"264",2018,5,1,5,1,4,3081.965,2900,5120
"265",2018,12,1,3,2,2,3062.962,3751.95,3660.55
"266",2020,9,1,18,1,1,3050,2830,3060
"267",2021,8,1,13,4,6,3035.8,0,1780
"268",2019,3,1,19,1,6,3033.0635,0,2840.001
"269",2021,8,1,5,1,4,3025.5,2992,2980
"270",2021,6,1,16,4,1,3004.9185,3637.001,3878
"271",2020,2,1,6,1,1,2987.332,0,0
"272",2020,7,1,6,1,1,2974.1255,0,0
"273",2022,1,1,16,4,1,2964.6615,0,0
"274",2018,5,1,6,1,1,2950.292,1606,3234.001
"275",2020,8,1,11,1,1,2917.539,0,1443.0005
"276",2018,4,1,5,1,4,2910.435,3342,3260
"277",2020,11,1,8,1,1,2903.28,405,3150
"278",2021,2,1,11,1,1,2900.8775,0,0
"279",2019,7,1,6,1,1,2894.0995,450,2100
"280",2018,7,1,6,1,1,2879.41,2310,2442
"281",2019,10,1,10,1,1,2874.59,2363.5,2363.5
"282",2021,10,1,10,1,1,2863.1825,5502.955,5502.955
"283",2020,6,1,3,1,2,2856.6185,4121.3425,4046.099
"284",2019,12,1,3,2,2,2845.471,3340.2,3433.85
"285",2021,3,1,16,4,1,2839.185,0,2969.5
"286",2020,12,1,6,1,1,2838.8625,1800,3190
"287",2021,5,1,20,1,1,2833.76,1447.5,1535
"288",2018,3,1,19,1,6,2832.8045,0,3000.0005
"289",2018,11,1,10,1,1,2814.98,2975.009,2997.009
"290",2022,2,1,1,1,1,2799,0,0
"291",2019,3,1,6,1,1,2796.292,0,3328.5
"292",2018,12,1,3,1,2,2793.9945,4664.73,4098.5
"293",2021,9,1,1,1,1,2793.6025,300,925
"294",2021,2,1,14,1,7,2784.51,0,0
"295",2021,7,1,16,4,1,2762.551,3636.5025,4289.001
"296",2020,10,1,16,4,1,2761.6815,0,2887.5005
"297",2021,12,1,10,1,1,2761.198,4433.7755,2761.198
"298",2018,8,1,16,4,1,2760.0245,0,2990.0005
"299",2020,3,1,3,2,2,2757.603,0,4835.5
"300",2020,5,1,8,1,1,2747.86,180,2241.5
"301",2021,6,1,8,1,1,2745,0,2745
"302",2021,8,1,11,1,1,2744.9995,3015,3015
"303",2020,3,1,10,1,1,2743.738,0,2642.212
"304",2018,10,1,24,2,2,2740.508,2126.591,2107.952
"305",2018,4,1,2,1,2,2737.8,2712.75,2918
"306",2021,7,1,6,1,1,2730.21,600,600
"307",2019,10,1,5,1,4,2730.045,1400,2355
"308",2018,1,1,11,1,1,2729.9995,0,0
"309",2021,4,1,8,1,1,2726.47,0,2677.5
"310",2018,4,1,19,1,6,2726.1425,1159.9995,2204.9995
"311",2018,1,1,2,1,2,2722.342,0,0
"312",2021,6,1,13,4,6,2721.53,865,885.79
"313",2019,1,1,5,1,4,2719.8325,0,0
"314",2020,12,1,18,1,1,2710.09,2152.59,2152.59
"315",2021,3,1,8,1,1,2706.27,0,2722.5
"316",2020,5,1,10,1,1,2702.03,3104.4805,3104.4805
"317",2020,6,1,3,2,2,2685.6975,2799.5175,3157.871
"318",2020,6,1,16,4,1,2677.0995,0,2519.9995
"319",2018,5,1,1,1,1,2663.6185,1306,1718.5
"320",2021,5,1,6,1,1,2659.522,2137.5,2062.5
"321",2021,8,1,7,1,1,2658.033,0,0
"322",2018,6,1,16,4,1,2653.506,0,3260.998
"323",2020,6,1,11,1,1,2645.67,0,0
"324",2021,4,1,16,4,1,2642.9175,3164.9995,3087.999
"325",2020,2,1,5,1,4,2640.432,0,0
"326",2020,11,1,16,4,1,2638.141,0,2722.4995
"327",2022,2,1,24,1,2,2635.7675,0,0
"328",2021,2,1,18,1,1,2620,0,0
"329",2021,8,1,32,1,7,2615.77,0,1720
"330",2019,12,1,11,1,1,2614.85,0,1255.0005
"331",2018,4,1,24,2,2,2613.723,2337.125,2463.625
"332",2018,10,1,10,1,1,2612,1350,2825.0075
"333",2018,2,1,11,1,1,2609.501,0,0
"334",2021,5,1,16,4,1,2605.8715,3061,3127.5025
"335",2018,10,1,16,4,1,2604.5555,0,3099.9985
"336",2020,9,1,8,1,1,2600.66,0,2002.5
"337",2018,9,1,5,1,4,2596.5125,5450,5894.75
"338",2020,8,1,14,1,7,2594.1,0,1272
"339",2019,7,1,16,4,1,2565.461,119.9995,2418.998
"340",2018,8,1,6,1,1,2561.52,3080,3080
"341",2018,7,1,11,1,1,2554.962,4559.9995,3427.5005
"342",2021,10,1,6,1,1,2544.478,0,1800
"343",2019,8,1,11,1,1,2544.0595,0,1237.5005
"344",2019,8,1,10,1,1,2544.04,2065.0005,2373.94
"345",2019,1,1,24,2,2,2542.4495,0,0
"346",2020,9,1,16,4,1,2532.2445,0,2114.4995
"347",2021,5,1,5,1,4,2528.4415,2440,2482
"348",2022,2,1,24,2,2,2522.6885,0,0
"349",2021,4,1,6,1,1,2519.938,1644,1644
"350",2020,5,1,25,1,1,2507.312,0,0
"351",2018,9,1,16,4,1,2499.468,0,3290.0005
"352",2018,10,1,11,1,1,2492.134,1540.4525,1190.452
"353",2020,5,1,16,4,1,2490.4685,0,1968.002
"354",2018,2,1,2,1,2,2490.157,0,0
"355",2020,4,1,13,4,6,2489.07,680,2399.9995
"356",2018,4,1,20,1,1,2487.5,2400,2400
"357",2019,12,1,6,1,1,2485.7385,2812.5,4415
"358",2018,1,1,10,1,1,2475.0075,0,0
"359",2019,4,1,5,1,4,2456.778,3487.5,3272.5
"360",2019,5,1,16,4,1,2452.9605,0,2309.999
"361",2019,6,1,6,1,1,2435.595,150,2550
"362",2018,3,1,24,2,2,2430.6375,0,2309.625
"363",2018,3,1,2,1,2,2428.97,0,2399.2
"364",2020,10,1,18,1,1,2420,2580,2610
"365",2019,8,1,16,4,1,2419.3615,0,2994.0005
"366",2019,10,1,16,4,1,2378.203,0,2902.999
"367",2018,2,1,24,2,2,2377.3225,0,0
"368",2020,4,1,5,1,4,2374,4690,4745
"369",2018,7,1,16,4,1,2373.85,0,3099.9985
"370",2018,1,1,24,2,2,2372.055,0,0
"371",2018,3,1,16,4,1,2367.575,0,2399.999
"372",2018,6,1,20,1,1,2362.67,1700,2380
"373",2019,9,1,11,1,1,2362.28,0,1872.499
"374",2018,11,1,24,2,2,2361.8515,2235.6595,2321.8065
"375",2020,2,1,10,1,1,2357.745,0,0
"376",2018,7,1,13,4,6,2357.5,859.9995,2559.9995
"377",2019,2,1,19,1,6,2353.104,0,0
"378",2020,1,1,14,1,7,2349.63,0,0
"379",2018,7,1,19,1,6,2344.59,1640,1580
"380",2019,11,1,10,1,1,2341.33,1938.901,2692.236
"381",2019,9,1,25,1,1,2337.8785,0,768.197
"382",2020,10,1,11,1,1,2337.1995,0,560.0005
"383",2020,9,1,6,1,1,2321.635,900,2012.5
"384",2018,8,1,24,2,2,2312.841,2313.625,2296.875
"385",2018,4,1,16,4,1,2297.4625,0,1960
"386",2019,12,1,1,1,1,2292.88,0,1657.5
"387",2021,11,1,20,1,1,2282.38,2167.5,2167.5
"388",2018,5,1,2,1,2,2278.195,2183.25,2190.5
"389",2021,4,1,5,1,4,2274.5,2885,2590
"390",2021,3,1,18,1,1,2270,0,2270
"391",2021,2,1,30,1,1,2269.26,0,0
"392",2018,7,1,24,2,2,2265.4885,2196.99,2426.49
"393",2019,1,1,19,1,6,2256.8095,0,0
"394",2020,6,1,1,1,1,2251.1645,0,0
"395",2021,12,1,11,1,1,2249.999,0,2249.999
"396",2018,3,1,14,1,7,2248.46,0,1128
"397",2018,5,1,16,4,1,2244.383,0,2900.001
"398",2020,7,1,14,1,7,2242.955,0,1512
"399",2022,1,1,24,1,2,2240.623,0,0
"400",2020,6,1,14,1,7,2239.28,0,2040
"401",2020,1,1,10,1,1,2239.2295,0,0
"402",2020,4,1,8,1,1,2231.4,0,2947.5
"403",2018,9,1,24,2,2,2229.8145,2094.625,2267.427
"404",2022,2,1,7,1,1,2219.668,0,0
"405",2018,9,1,6,1,1,2219.315,0,2289.5
"406",2022,1,1,24,2,2,2211.714,0,0
"407",2021,9,1,20,1,1,2197.875,1772.5,1772.5
"408",2019,6,1,16,4,1,2197.435,0,2781.001
"409",2019,9,1,10,1,1,2189.395,1717.941,1717.941
"410",2018,5,1,24,2,2,2189.2075,2234.625,2169.625
"411",2018,5,1,14,1,7,2187,0,1944
"412",2020,7,1,8,1,1,2183.23,0,2002.5
"413",2019,11,1,11,1,1,2174.7295,0,1267.5
"414",2020,3,1,14,1,7,2164.06,0,1692
"415",2020,11,1,41,1,1,2162.991,1730.002,1655.001
"416",2020,12,1,11,1,1,2158.1395,0,2184.0005
"417",2018,12,1,10,1,1,2153.9225,2550.009,2470.008
"418",2021,11,1,24,1,2,2153.2955,2144.336,2438.055
"419",2022,2,1,16,4,1,2149.0005,0,0
"420",2021,10,1,11,1,1,2141.9995,0,2141.9995
"421",2020,3,1,8,1,1,2137.45,0,2002.5
"422",2020,8,1,5,1,4,2134.37,2345,3595
"423",2020,11,1,39,1,1,2128.91,1179.527,1415.6455
"424",2022,1,1,22,1,1,2128.5,0,0
"425",2020,1,1,24,2,2,2126.836,0,0
"426",2021,1,1,16,4,1,2122.3755,0,0
"427",2019,9,1,5,1,4,2120.6175,2850,1500
"428",2019,4,1,16,4,1,2119.0525,40,2320
"429",2018,11,1,16,4,1,2108.871,0,2501.999
"430",2021,1,1,38,1,1,2100,0,0
"431",2018,5,1,13,4,6,2092.71,1250,1250
"432",2018,4,1,14,1,7,2092.5,0,960
"433",2018,2,1,5,1,4,2080,0,0
"434",2018,9,1,2,1,2,2078.786,1523,1834.4935
"435",2020,12,1,8,1,1,2077.645,1425,3562.5
"436",2019,1,1,10,1,1,2076.222,0,0
"437",2018,8,1,2,1,2,2075.2085,1989.5,1973.2145
"438",2020,10,1,39,1,1,2066.2325,1202.5895,1158.604
"439",2019,12,1,25,1,1,2063.28,0,1112.875
"440",2019,6,1,5,1,4,2061.2225,3738,3872.5
"441",2018,10,1,2,1,2,2047.1975,2178.0765,2255.6965
"442",2020,8,1,8,1,1,2044.35,0,2002.5
"443",2020,12,1,16,4,1,2041.944,135.4995,2771.0005
"444",2020,5,1,5,1,4,2033.1425,3575,3840
"445",2018,3,1,20,1,1,2031.04,0,2000
"446",2019,10,1,34,1,4,2027.145,0,1435
"447",2018,12,1,24,2,2,2017.14,2247.345,2255.042
"448",2020,4,1,10,1,1,2004.1025,2602.8745,2602.8745
"449",2020,2,1,8,1,1,2003.485,0,0
"450",2018,2,1,20,1,1,2000,0,0
"451",2021,11,1,1,1,1,1993.555,625,3140
"452",2021,10,1,24,1,2,1988.6155,2271.7885,2585.676
"453",2019,4,1,24,2,2,1986.809,1946.15,1882.82
"454",2019,9,1,6,1,1,1985.4135,0,1025
"455",2020,1,1,8,1,1,1984.7,0,0
"456",2018,7,1,2,1,2,1984.6355,2227,2025
"457",2019,12,1,10,1,1,1983,1608.3605,1653.3605
"458",2018,5,1,20,1,1,1981.57,2180,2220
"459",2018,6,1,24,2,2,1969.545,2122.625,2238.625
"460",2020,6,1,8,1,1,1961.35,0,2002.5
"461",2020,3,1,11,1,1,1960.395,0,1957.4995
"462",2019,4,1,10,1,1,1950.2175,2000,1810.0005
"463",2018,8,1,14,1,7,1949,0,1392
"464",2019,2,1,10,1,1,1938.6385,0,0
"465",2019,5,1,10,1,1,1935.087,1745.0005,2231.0025
"466",2020,1,1,32,1,7,1934.66,0,0
"467",2019,6,1,13,4,6,1927.16,0,640
"468",2020,1,1,11,1,1,1918.3505,0,0
"469",2020,2,1,11,1,1,1916.667,0,0
"470",2019,3,1,10,1,1,1914.157,0,1770.0005
"471",2018,12,1,16,4,1,1911.929,0,2249.5
"472",2020,9,1,12,1,1,1910,0,0
"473",2021,5,1,7,1,1,1909.2105,7063.071,6942.971
"474",2019,11,1,16,4,1,1907.1435,0,2711.9995
"475",2020,1,1,24,1,2,1906.4685,0,0
"476",2019,9,1,16,4,1,1899.5805,0,2656.0005
"477",2020,9,1,14,1,7,1897.935,0,1512
"478",2021,3,1,11,1,1,1893.679,0,2480.0005
"479",2021,1,1,24,2,2,1889.532,0,0
"480",2021,5,1,32,1,7,1888,1072,1072
"481",2021,3,1,24,1,2,1885.8255,0,1972.6295
"482",2020,8,1,16,4,1,1882.677,0,1832.4995
"483",2018,8,1,20,1,1,1879.38,2980,2600
"484",2020,12,1,5,1,4,1875.3165,800,1127.5
