Year,Month ,Plant,Customer ,Primary Market Code ,Material Type,Available Tons 
2020,July,Plant_2,Customer_262,Primary_Market_Code_17,Material_Type_12,8.0425
2020,April,Plant_2,Customer_262,Primary_Market_Code_17,Material_Type_12,8.0425
2020,December,Plant_3,Customer_468,Primary_Market_Code_2,Material_Type_5,32.69
2021,November,Plant_3,Customer_468,Primary_Market_Code_20,Material_Type_5,9.315
2021,August,Plant_2,Customer_468,Primary_Market_Code_2,Material_Type_10,2.5375
2021,December,Plant_2,Customer_468,Primary_Market_Code_2,Material_Type_10,3.73
2020,May,Plant_3,Customer_468,Primary_Market_Code_17,Material_Type_12,53.39965005
2021,April,Plant_3,Customer_468,Primary_Market_Code_17,Material_Type_12,82.24424055
2021,April,Plant_2,Customer_468,Primary_Market_Code_20,Material_Type_2,5.5825
2021,October,Plant_2,Customer_468,Primary_Market_Code_2,Material_Type_2,16.1425
2020,August,Plant_7,Customer_468,Primary_Market_Code_20,Material_Type_2,0.9075
2020,November,Plant_2,Customer_564,Primary_Market_Code_6,Material_Type_4,23.175
2020,May,Plant_2,Customer_564,Primary_Market_Code_6,Material_Type_4,0
2021,March,Plant_6,Customer_788,Primary_Market_Code_7,Material_Type_5,0
2020,March,Plant_2,Customer_295,Primary_Market_Code_2,Material_Type_8,4.846
2020,April,Plant_2,Customer_295,Primary_Market_Code_2,Material_Type_8,4.846
2021,March,Plant_3,Customer_295,Primary_Market_Code_2,Material_Type_5,7.105
2021,May,Plant_3,Customer_295,Primary_Market_Code_2,Material_Type_5,15.03
2020,September,Plant_3,Customer_295,Primary_Market_Code_17,Material_Type_12,68.8960982
2022,January,Plant_3,Customer_295,Primary_Market_Code_17,Material_Type_12,42.15457245
2020,August,Plant_3,Customer_295,Primary_Market_Code_17,Material_Type_12,47.94598265
2020,September,Plant_2,Customer_295,Primary_Market_Code_17,Material_Type_12,20.545
2021,September,Plant_2,Customer_295,Primary_Market_Code_17,Material_Type_12,19.899
2020,July,Plant_7,Customer_246,Primary_Market_Code_13,Material_Type_5,12.0675
2020,April,Plant_7,Customer_246,Primary_Market_Code_13,Material_Type_5,0
2021,September,Plant_7,Customer_246,Primary_Market_Code_17,Material_Type_12,821.8122415
2022,January,Plant_7,Customer_246,Primary_Market_Code_17,Material_Type_12,410.235
2021,January,Plant_7,Customer_246,Primary_Market_Code_17,Material_Type_12,540.583
2021,February,Plant_7,Customer_246,Primary_Market_Code_17,Material_Type_12,466.3305
2021,February,Plant_7,Customer_246,Primary_Market_Code_6,Material_Type_7,46.4775
2020,November,Plant_7,Customer_246,Primary_Market_Code_6,Material_Type_7,40.8825
2020,July,Plant_7,Customer_246,Primary_Market_Code_6,Material_Type_7,25.515
2020,August,Plant_7,Customer_246,Primary_Market_Code_13,Material_Type_7,5.905
2020,July,Plant_7,Customer_246,Primary_Market_Code_13,Material_Type_7,0
2020,May,Plant_7,Customer_246,Primary_Market_Code_6,Material_Type_7,83.805
2020,September,Plant_7,Customer_246,Primary_Market_Code_6,Material_Type_7,73.2125
2020,March,Plant_7,Customer_246,Primary_Market_Code_6,Material_Type_7,61.28
2021,September,Plant_7,Customer_246,Primary_Market_Code_6,Material_Type_2,11.755
2021,February,Plant_7,Customer_246,Primary_Market_Code_6,Material_Type_2,19.575
2021,July,Plant_7,Customer_246,Primary_Market_Code_6,Material_Type_2,0
2021,December,Plant_7,Customer_246,Primary_Market_Code_6,Material_Type_2,22.43
2020,December,Plant_7,Customer_246,Primary_Market_Code_6,Material_Type_2,2.8875
2021,October,Plant_7,Customer_246,Primary_Market_Code_2,Material_Type_2,23.54
2022,January,Plant_7,Customer_246,Primary_Market_Code_2,Material_Type_2,9.365
2021,October,Plant_7,Customer_184,Primary_Market_Code_17,Material_Type_12,231.49
2021,June,Plant_7,Customer_184,Primary_Market_Code_6,Material_Type_7,7.814
2020,July,Plant_1,Customer_286,Primary_Market_Code_17,Material_Type_12,63.464125
2020,September,Plant_1,Customer_286,Primary_Market_Code_17,Material_Type_12,32.888125
2021,October,Plant_2,Customer_86,Primary_Market_Code_6,Material_Type_3,46.7775
2021,November,Plant_2,Customer_86,Primary_Market_Code_1,Material_Type_3,3.44
2022,January,Plant_2,Customer_86,Primary_Market_Code_1,Material_Type_3,3.44
2020,March,Plant_1,Customer_86,Primary_Market_Code_17,Material_Type_12,625.225
2020,September,Plant_5,Customer_86,Primary_Market_Code_17,Material_Type_12,48.2775645
2021,November,Plant_5,Customer_86,Primary_Market_Code_17,Material_Type_12,43.48
2021,September,Plant_7,Customer_86,Primary_Market_Code_17,Material_Type_12,45.295
2021,September,Plant_7,Customer_86,Primary_Market_Code_6,Material_Type_7,0
2020,October,Plant_1,Customer_86,Primary_Market_Code_6,Material_Type_1,10.54
2020,March,Plant_1,Customer_86,Primary_Market_Code_6,Material_Type_1,23.73
2020,June,Plant_4,Customer_86,Primary_Market_Code_6,Material_Type_1,0
2020,October,Plant_3,Customer_225,Primary_Market_Code_20,Material_Type_6,41.365
2021,March,Plant_7,Customer_225,Primary_Market_Code_17,Material_Type_12,172.103785
2020,May,Plant_7,Customer_225,Primary_Market_Code_17,Material_Type_12,246.122319
2020,December,Plant_3,Customer_225,Primary_Market_Code_17,Material_Type_12,173.3469419
2022,January,Plant_7,Customer_225,Primary_Market_Code_17,Material_Type_12,23.185
2021,December,Plant_3,Customer_225,Primary_Market_Code_17,Material_Type_12,28.496574
2020,March,Plant_3,Customer_225,Primary_Market_Code_20,Material_Type_7,0
2021,December,Plant_3,Customer_225,Primary_Market_Code_20,Material_Type_7,3.5725
2021,April,Plant_7,Customer_225,Primary_Market_Code_20,Material_Type_2,1.1175
2020,December,Plant_7,Customer_225,Primary_Market_Code_20,Material_Type_2,48.04
2021,August,Plant_7,Customer_225,Primary_Market_Code_20,Material_Type_2,33.7
2022,February,Plant_7,Customer_225,Primary_Market_Code_20,Material_Type_2,7.285
2021,July,Plant_5,Customer_690,Primary_Market_Code_17,Material_Type_12,9.77
2021,June,Plant_3,Customer_601,Primary_Market_Code_15,Material_Type_5,34.215
2021,December,Plant_3,Customer_601,Primary_Market_Code_15,Material_Type_5,11.08
2021,August,Plant_3,Customer_601,Primary_Market_Code_17,Material_Type_12,42.0263032
2021,March,Plant_3,Customer_26,Primary_Market_Code_2,Material_Type_5,145.1175
2021,September,Plant_3,Customer_26,Primary_Market_Code_2,Material_Type_5,339.2575
2020,November,Plant_6,Customer_26,Primary_Market_Code_2,Material_Type_5,8.237
2020,December,Plant_6,Customer_26,Primary_Market_Code_2,Material_Type_5,8.237
2022,February,Plant_6,Customer_26,Primary_Market_Code_2,Material_Type_10,11.374
2021,February,Plant_3,Customer_26,Primary_Market_Code_2,Material_Type_10,3.8925
2021,April,Plant_3,Customer_26,Primary_Market_Code_2,Material_Type_10,3.455
2021,January,Plant_3,Customer_26,Primary_Market_Code_2,Material_Type_10,5.3975
2021,June,Plant_3,Customer_26,Primary_Market_Code_2,Material_Type_10,3.455
2021,October,Plant_3,Customer_26,Primary_Market_Code_2,Material_Type_10,2.0425
2020,June,Plant_2,Customer_26,Primary_Market_Code_2,Material_Type_10,22.44
2021,September,Plant_2,Customer_26,Primary_Market_Code_2,Material_Type_10,4.3575
2020,June,Plant_2,Customer_26,Primary_Market_Code_17,Material_Type_12,8930.496309
2021,March,Plant_2,Customer_26,Primary_Market_Code_17,Material_Type_12,2746.080165
2020,March,Plant_2,Customer_26,Primary_Market_Code_17,Material_Type_12,8299.566697
2020,December,Plant_2,Customer_26,Primary_Market_Code_17,Material_Type_12,4311.872298
2021,January,Plant_2,Customer_26,Primary_Market_Code_17,Material_Type_12,4292.318618
2020,October,Plant_2,Customer_26,Primary_Market_Code_17,Material_Type_12,2863.147471
2020,May,Plant_3,Customer_26,Primary_Market_Code_17,Material_Type_12,1275.161331
2021,July,Plant_3,Customer_26,Primary_Market_Code_17,Material_Type_12,926.024994
2021,September,Plant_3,Customer_26,Primary_Market_Code_17,Material_Type_12,785.3229594
2021,January,Plant_6,Customer_26,Primary_Market_Code_17,Material_Type_12,937.9546974
2021,November,Plant_6,Customer_26,Primary_Market_Code_17,Material_Type_12,499.5602816
2020,July,Plant_3,Customer_26,Primary_Market_Code_2,Material_Type_7,16.261
2021,July,Plant_3,Customer_26,Primary_Market_Code_2,Material_Type_7,25.049
2021,September,Plant_2,Customer_26,Primary_Market_Code_2,Material_Type_2,465.905
2021,July,Plant_2,Customer_26,Primary_Market_Code_2,Material_Type_2,327.1506945
2021,June,Plant_2,Customer_26,Primary_Market_Code_2,Material_Type_2,526.63
2020,December,Plant_2,Customer_26,Primary_Market_Code_2,Material_Type_2,428.7375
2020,April,Plant_3,Customer_26,Primary_Market_Code_2,Material_Type_2,562.3819048
2021,November,Plant_3,Customer_26,Primary_Market_Code_2,Material_Type_2,124.8975
2022,January,Plant_3,Customer_26,Primary_Market_Code_2,Material_Type_2,155.5925
2021,July,Plant_3,Customer_26,Primary_Market_Code_2,Material_Type_2,119.0875
2020,May,Plant_2,Customer_26,Primary_Market_Code_3,Material_Type_2,42.88
2020,October,Plant_2,Customer_26,Primary_Market_Code_3,Material_Type_2,54.165
2021,March,Plant_6,Customer_26,Primary_Market_Code_2,Material_Type_2,26.834
2020,July,Plant_3,Customer_26,Primary_Market_Code_17,Material_Type_2,0.68270475
2021,June,Plant_3,Customer_26,Primary_Market_Code_17,Material_Type_2,0
2020,September,Plant_2,Customer_26,Primary_Market_Code_21,Material_Type_2,6.9125
2020,April,Plant_2,Customer_26,Primary_Market_Code_21,Material_Type_2,6.9125
2021,July,Plant_2,Customer_26,Primary_Market_Code_21,Material_Type_2,6.9125
2020,April,Plant_6,Customer_26,Primary_Market_Code_2,Material_Type_2,12.675
2020,March,Plant_6,Customer_26,Primary_Market_Code_2,Material_Type_2,12.675
2021,April,Plant_2,Customer_26,Primary_Market_Code_3,Material_Type_2,11.275
2022,February,Plant_2,Customer_26,Primary_Market_Code_3,Material_Type_2,46.1275
2021,August,Plant_2,Customer_26,Primary_Market_Code_3,Material_Type_2,9.0425
2020,October,Plant_1,Customer_414,Primary_Market_Code_17,Material_Type_12,64.165
2020,November,Plant_3,Customer_617,Primary_Market_Code_2,Material_Type_5,0
2021,April,Plant_3,Customer_617,Primary_Market_Code_17,Material_Type_12,17.7721032
2020,October,Plant_3,Customer_617,Primary_Market_Code_17,Material_Type_12,21.89660575
2021,September,Plant_3,Customer_617,Primary_Market_Code_17,Material_Type_12,17.2039028
2021,November,Plant_3,Customer_617,Primary_Market_Code_17,Material_Type_12,8.84
2020,June,Plant_1,Customer_227,Primary_Market_Code_4,Material_Type_1,0
2020,August,Plant_3,Customer_223,Primary_Market_Code_2,Material_Type_5,21.575
2021,April,Plant_3,Customer_223,Primary_Market_Code_2,Material_Type_5,8.48
2021,July,Plant_3,Customer_183,Primary_Market_Code_2,Material_Type_5,1.9375
2021,November,Plant_3,Customer_183,Primary_Market_Code_17,Material_Type_12,382.9918728
2020,December,Plant_3,Customer_183,Primary_Market_Code_17,Material_Type_12,124.2344606
2021,July,Plant_3,Customer_183,Primary_Market_Code_17,Material_Type_12,429.3772524
2021,February,Plant_1,Customer_1178,Primary_Market_Code_17,Material_Type_12,5.712655
2021,May,Plant_1,Customer_1178,Primary_Market_Code_17,Material_Type_12,0.1437085
2020,April,Plant_1,Customer_34,Primary_Market_Code_17,Material_Type_12,377.257
2020,September,Plant_1,Customer_34,Primary_Market_Code_4,Material_Type_1,215.8275
2020,April,Plant_1,Customer_34,Primary_Market_Code_4,Material_Type_1,154.18
2020,September,Plant_1,Customer_34,Primary_Market_Code_1,Material_Type_1,4.8425
2022,February,Plant_2,Customer_34,Primary_Market_Code_4,Material_Type_1,0
2021,June,Plant_5,Customer_1179,Primary_Market_Code_12,Material_Type_11,0
2021,December,Plant_5,Customer_1179,Primary_Market_Code_12,Material_Type_11,0
2021,March,Plant_5,Customer_1179,Primary_Market_Code_12,Material_Type_11,0
2022,January,Plant_3,Customer_571,Primary_Market_Code_17,Material_Type_12,29.0706515
2021,November,Plant_3,Customer_571,Primary_Market_Code_17,Material_Type_11,1.345824
2021,August,Plant_8,Customer_899,Primary_Market_Code_17,Material_Type_12,1.3510976
2021,March,Plant_4,Customer_200,Primary_Market_Code_6,Material_Type_3,0
2021,October,Plant_7,Customer_200,Primary_Market_Code_17,Material_Type_12,404.423
2021,April,Plant_7,Customer_200,Primary_Market_Code_6,Material_Type_2,299.84
2020,May,Plant_7,Customer_200,Primary_Market_Code_6,Material_Type_2,91.5175
2021,July,Plant_12,Customer_103,Primary_Market_Code_17,Material_Type_12,12.355
2021,June,Plant_7,Customer_103,Primary_Market_Code_17,Material_Type_12,874.654
2021,November,Plant_7,Customer_103,Primary_Market_Code_17,Material_Type_12,346.3465
2021,February,Plant_7,Customer_103,Primary_Market_Code_17,Material_Type_12,515.0345
2020,November,Plant_7,Customer_103,Primary_Market_Code_17,Material_Type_12,208.088
2021,December,Plant_7,Customer_103,Primary_Market_Code_17,Material_Type_12,86.33
2021,May,Plant_12,Customer_103,Primary_Market_Code_23,Material_Type_12,0
2021,June,Plant_2,Customer_103,Primary_Market_Code_17,Material_Type_12,81.073
2020,April,Plant_2,Customer_103,Primary_Market_Code_17,Material_Type_12,21.275
2021,April,Plant_2,Customer_103,Primary_Market_Code_17,Material_Type_12,6.768
2020,June,Plant_2,Customer_103,Primary_Market_Code_17,Material_Type_12,61.97
2020,October,Plant_2,Customer_103,Primary_Market_Code_17,Material_Type_12,61.97
2020,July,Plant_7,Customer_103,Primary_Market_Code_6,Material_Type_7,280.4125
2022,January,Plant_7,Customer_103,Primary_Market_Code_6,Material_Type_7,125.2775
2022,February,Plant_7,Customer_103,Primary_Market_Code_6,Material_Type_7,125.2775
2020,August,Plant_7,Customer_103,Primary_Market_Code_6,Material_Type_7,148.6075
2020,April,Plant_2,Customer_103,Primary_Market_Code_6,Material_Type_7,105.3475
2020,May,Plant_2,Customer_103,Primary_Market_Code_6,Material_Type_7,105.3475
2020,July,Plant_2,Customer_103,Primary_Market_Code_6,Material_Type_7,105.3475
2020,October,Plant_2,Customer_103,Primary_Market_Code_6,Material_Type_7,36.2825
2022,January,Plant_2,Customer_103,Primary_Market_Code_6,Material_Type_7,41.19
2021,February,Plant_2,Customer_103,Primary_Market_Code_6,Material_Type_7,0
2020,September,Plant_7,Customer_216,Primary_Market_Code_17,Material_Type_12,96.383
2020,April,Plant_2,Customer_216,Primary_Market_Code_17,Material_Type_12,110.789
2021,July,Plant_2,Customer_216,Primary_Market_Code_17,Material_Type_12,46.72
2021,September,Plant_7,Customer_216,Primary_Market_Code_17,Material_Type_12,19.9595
2020,July,Plant_7,Customer_216,Primary_Market_Code_17,Material_Type_12,46.219
2020,September,Plant_2,Customer_216,Primary_Market_Code_17,Material_Type_12,0
2020,August,Plant_2,Customer_216,Primary_Market_Code_17,Material_Type_12,20.2495
2020,August,Plant_7,Customer_216,Primary_Market_Code_7,Material_Type_2,113.87
2021,October,Plant_7,Customer_216,Primary_Market_Code_7,Material_Type_2,44.82
2020,March,Plant_4,Customer_382,Primary_Market_Code_17,Material_Type_12,311.604375
2020,October,Plant_4,Customer_382,Primary_Market_Code_17,Material_Type_12,443.203
2020,May,Plant_4,Customer_382,Primary_Market_Code_26,Material_Type_12,0
2020,September,Plant_4,Customer_382,Primary_Market_Code_17,Material_Type_12,175.501
2020,December,Plant_4,Customer_382,Primary_Market_Code_17,Material_Type_12,124.826
2021,October,Plant_4,Customer_382,Primary_Market_Code_17,Material_Type_12,207.787971
2020,June,Plant_4,Customer_382,Primary_Market_Code_17,Material_Type_12,214.794
2021,June,Plant_4,Customer_382,Primary_Market_Code_17,Material_Type_12,128.6245595
2022,January,Plant_4,Customer_382,Primary_Market_Code_17,Material_Type_12,178.569764
2021,July,Plant_4,Customer_382,Primary_Market_Code_26,Material_Type_12,0
2021,March,Plant_4,Customer_382,Primary_Market_Code_26,Material_Type_12,14.4635535
2020,May,Plant_4,Customer_382,Primary_Market_Code_1,Material_Type_12,0
2021,June,Plant_4,Customer_382,Primary_Market_Code_17,Material_Type_12,67.9612535
2021,February,Plant_4,Customer_382,Primary_Market_Code_17,Material_Type_12,435.324805
2021,November,Plant_4,Customer_382,Primary_Market_Code_26,Material_Type_12,0
2021,June,Plant_4,Customer_382,Primary_Market_Code_17,Material_Type_12,141.683331
2021,November,Plant_4,Customer_382,Primary_Market_Code_17,Material_Type_12,1.446
2020,April,Plant_4,Customer_382,Primary_Market_Code_17,Material_Type_12,16.535
2022,February,Plant_4,Customer_382,Primary_Market_Code_26,Material_Type_12,0
2021,February,Plant_2,Customer_50,Primary_Market_Code_3,Material_Type_8,7.0305
2020,September,Plant_2,Customer_50,Primary_Market_Code_17,Material_Type_12,381.9695
2021,April,Plant_2,Customer_50,Primary_Market_Code_17,Material_Type_12,360.9755
2021,January,Plant_2,Customer_50,Primary_Market_Code_17,Material_Type_12,463.3455
2020,May,Plant_4,Customer_50,Primary_Market_Code_17,Material_Type_12,1940.397
2020,September,Plant_4,Customer_50,Primary_Market_Code_17,Material_Type_12,573.3845
2021,February,Plant_4,Customer_50,Primary_Market_Code_17,Material_Type_12,226.171
2020,September,Plant_2,Customer_50,Primary_Market_Code_3,Material_Type_2,41.645
2021,February,Plant_2,Customer_50,Primary_Market_Code_3,Material_Type_2,0
2020,March,Plant_2,Customer_50,Primary_Market_Code_3,Material_Type_2,36.5
2020,April,Plant_4,Customer_50,Primary_Market_Code_3,Material_Type_2,401.5425
2021,November,Plant_2,Customer_50,Primary_Market_Code_3,Material_Type_2,0
2021,July,Plant_4,Customer_610,Primary_Market_Code_17,Material_Type_12,143.6682665
2020,September,Plant_3,Customer_642,Primary_Market_Code_7,Material_Type_5,0.45
2021,December,Plant_3,Customer_642,Primary_Market_Code_7,Material_Type_5,0.7725
2022,January,Plant_3,Customer_642,Primary_Market_Code_7,Material_Type_5,13.0375
2021,August,Plant_8,Customer_642,Primary_Market_Code_7,Material_Type_9,0.986
2021,May,Plant_3,Customer_362,Primary_Market_Code_20,Material_Type_5,0
2020,July,Plant_6,Customer_362,Primary_Market_Code_2,Material_Type_5,11.303
2020,June,Plant_6,Customer_362,Primary_Market_Code_2,Material_Type_5,15.235
2021,November,Plant_6,Customer_362,Primary_Market_Code_2,Material_Type_5,6.7255
2020,May,Plant_3,Customer_362,Primary_Market_Code_2,Material_Type_5,0
2021,November,Plant_8,Customer_362,Primary_Market_Code_20,Material_Type_9,3.883
2021,August,Plant_8,Customer_362,Primary_Market_Code_20,Material_Type_9,19.5175
2021,July,Plant_8,Customer_362,Primary_Market_Code_20,Material_Type_9,2.117
2022,February,Plant_8,Customer_362,Primary_Market_Code_20,Material_Type_9,3.522
2020,December,Plant_8,Customer_362,Primary_Market_Code_2,Material_Type_9,4.102
2021,April,Plant_8,Customer_362,Primary_Market_Code_2,Material_Type_9,1.259
2021,August,Plant_8,Customer_362,Primary_Market_Code_2,Material_Type_9,4.381
2021,September,Plant_8,Customer_362,Primary_Market_Code_2,Material_Type_9,13.839
2020,November,Plant_8,Customer_362,Primary_Market_Code_2,Material_Type_9,4.102
2020,March,Plant_8,Customer_362,Primary_Market_Code_13,Material_Type_9,0
2021,August,Plant_6,Customer_362,Primary_Market_Code_17,Material_Type_12,78.97408825
2021,August,Plant_8,Customer_362,Primary_Market_Code_17,Material_Type_12,47.73328065
2020,September,Plant_8,Customer_362,Primary_Market_Code_17,Material_Type_12,36.7166973
2021,January,Plant_6,Customer_48,Primary_Market_Code_9,Material_Type_6,5.772
2020,June,Plant_6,Customer_48,Primary_Market_Code_17,Material_Type_12,2159.7075
2021,November,Plant_6,Customer_48,Primary_Market_Code_17,Material_Type_12,1287.38
2021,December,Plant_6,Customer_48,Primary_Market_Code_17,Material_Type_12,1351.85
2022,January,Plant_6,Customer_48,Primary_Market_Code_17,Material_Type_12,1329.920186
2021,October,Plant_2,Customer_82,Primary_Market_Code_6,Material_Type_10,0.765
2021,January,Plant_5,Customer_82,Primary_Market_Code_6,Material_Type_10,5.835
2020,June,Plant_5,Customer_82,Primary_Market_Code_6,Material_Type_10,0
2020,March,Plant_5,Customer_82,Primary_Market_Code_17,Material_Type_12,2874.35
2020,September,Plant_5,Customer_82,Primary_Market_Code_17,Material_Type_12,1141.656
2021,September,Plant_5,Customer_82,Primary_Market_Code_17,Material_Type_12,428.299
2021,July,Plant_2,Customer_82,Primary_Market_Code_17,Material_Type_12,109.215
2020,August,Plant_1,Customer_82,Primary_Market_Code_2,Material_Type_1,1.03
2020,April,Plant_1,Customer_82,Primary_Market_Code_2,Material_Type_1,1.03
2020,December,Plant_1,Customer_82,Primary_Market_Code_2,Material_Type_1,1.03
2020,December,Plant_5,Customer_82,Primary_Market_Code_6,Material_Type_2,18.805
2020,June,Plant_5,Customer_82,Primary_Market_Code_6,Material_Type_2,49.2275
2020,December,Plant_5,Customer_82,Primary_Market_Code_1,Material_Type_2,15.2475
2021,August,Plant_5,Customer_82,Primary_Market_Code_6,Material_Type_2,8.0225
2021,November,Plant_5,Customer_82,Primary_Market_Code_6,Material_Type_2,40.42
2020,December,Plant_2,Customer_82,Primary_Market_Code_1,Material_Type_2,11.0375
2020,October,Plant_2,Customer_82,Primary_Market_Code_1,Material_Type_2,7.365
2021,August,Plant_2,Customer_82,Primary_Market_Code_1,Material_Type_2,4.12
2021,August,Plant_5,Customer_82,Primary_Market_Code_1,Material_Type_2,1.53
2021,June,Plant_5,Customer_82,Primary_Market_Code_1,Material_Type_2,4.285
2021,March,Plant_5,Customer_82,Primary_Market_Code_1,Material_Type_2,4.285
2020,November,Plant_3,Customer_778,Primary_Market_Code_17,Material_Type_12,2.7199362
2020,September,Plant_3,Customer_778,Primary_Market_Code_17,Material_Type_12,4.136118
2021,June,Plant_2,Customer_85,Primary_Market_Code_3,Material_Type_8,159.4345
2021,May,Plant_2,Customer_85,Primary_Market_Code_17,Material_Type_12,2340.954
2021,March,Plant_2,Customer_85,Primary_Market_Code_17,Material_Type_12,1157.7385
2020,May,Plant_7,Customer_455,Primary_Market_Code_17,Material_Type_12,60.148216
2020,March,Plant_7,Customer_455,Primary_Market_Code_6,Material_Type_7,19.203
2021,October,Plant_3,Customer_894,Primary_Market_Code_17,Material_Type_12,11.6269517
2021,February,Plant_3,Customer_894,Primary_Market_Code_17,Material_Type_12,2.1980829
2021,February,Plant_4,Customer_18,Primary_Market_Code_16,Material_Type_3,2.01
2020,December,Plant_4,Customer_18,Primary_Market_Code_1,Material_Type_3,1.47
2021,February,Plant_4,Customer_18,Primary_Market_Code_1,Material_Type_3,1.47
2021,September,Plant_1,Customer_18,Primary_Market_Code_17,Material_Type_12,290.304
2020,March,Plant_1,Customer_18,Primary_Market_Code_17,Material_Type_12,4893.284
2021,June,Plant_1,Customer_18,Primary_Market_Code_17,Material_Type_12,45.5585
2020,September,Plant_4,Customer_18,Primary_Market_Code_17,Material_Type_12,214.965
2020,November,Plant_1,Customer_18,Primary_Market_Code_1,Material_Type_1,541.0325
2021,January,Plant_4,Customer_18,Primary_Market_Code_1,Material_Type_2,39.18
2021,February,Plant_4,Customer_18,Primary_Market_Code_1,Material_Type_2,41.52
2021,March,Plant_4,Customer_18,Primary_Market_Code_1,Material_Type_2,23.495
2020,October,Plant_1,Customer_18,Primary_Market_Code_1,Material_Type_2,62.4512445
2020,August,Plant_1,Customer_18,Primary_Market_Code_1,Material_Type_2,4.9325
2020,December,Plant_6,Customer_763,Primary_Market_Code_24,Material_Type_5,9.834
2021,March,Plant_6,Customer_763,Primary_Market_Code_24,Material_Type_5,0
2020,September,Plant_2,Customer_196,Primary_Market_Code_3,Material_Type_8,58.6075
2020,April,Plant_2,Customer_196,Primary_Market_Code_3,Material_Type_8,76.446
2021,April,Plant_2,Customer_196,Primary_Market_Code_3,Material_Type_8,9.135
2021,February,Plant_2,Customer_196,Primary_Market_Code_3,Material_Type_8,9.103
2021,April,Plant_2,Customer_196,Primary_Market_Code_17,Material_Type_12,143
2020,October,Plant_4,Customer_400,Primary_Market_Code_17,Material_Type_12,67.72
2021,August,Plant_4,Customer_400,Primary_Market_Code_17,Material_Type_12,45.34
2021,February,Plant_4,Customer_400,Primary_Market_Code_1,Material_Type_2,43.07
2020,October,Plant_4,Customer_400,Primary_Market_Code_1,Material_Type_2,20.915
2021,June,Plant_4,Customer_400,Primary_Market_Code_1,Material_Type_2,19.34
2021,August,Plant_4,Customer_400,Primary_Market_Code_1,Material_Type_2,0
2021,December,Plant_3,Customer_217,Primary_Market_Code_2,Material_Type_5,217.2625
2021,February,Plant_3,Customer_217,Primary_Market_Code_20,Material_Type_5,0
2021,January,Plant_3,Customer_217,Primary_Market_Code_17,Material_Type_12,125.1454647
