"","year","month","plant_ID","customer_ID","market_code","material_type_ID","booked_tons"
"85",2020,3,1,1,1,1,5566.0955
"86",2021,11,1,2,2,2,5554.393954
"87",2019,4,1,2,2,2,5543.939178
"88",2019,11,1,38,1,1,5525.069
"89",2018,7,1,11,1,1,5509.6305
"90",2018,4,1,11,1,1,5479.618
"91",2019,1,1,6,1,1,5474.4905
"92",2020,11,1,2,2,2,5423.324532
"93",2018,10,1,3,2,2,5405.125
"94",2019,6,1,3,2,1,5380.4715
"95",2018,6,2,9,5,4,5336.84
"96",2020,9,1,2,2,2,5334.541879
"97",2022,1,1,90,7,1,5332.77
"98",2021,4,1,2,2,2,5328.493626
"99",2021,10,1,2,2,2,5318.03703
"100",2018,2,1,3,2,2,5300.7545
"101",2018,7,1,3,2,1,5262.804
"102",2020,10,2,9,5,4,5195.37
"103",2019,11,1,2,2,2,5193.173479
"104",2021,9,2,6,1,1,5144.0075
"105",2020,7,1,6,1,1,5130.353
"106",2021,8,1,2,2,2,5110.123993
"107",2020,9,1,30,1,1,4966.96
"108",2019,10,1,3,2,1,4946.7375
"109",2020,6,1,12,1,1,4946.32
"110",2019,1,1,3,2,1,4939.977
"111",2020,12,1,7,1,1,4937.5545
"112",2019,6,2,4,3,3,4926.9511
"113",2019,6,1,3,2,2,4880.381
"114",2020,5,1,5,4,1,4874.97
"115",2019,9,1,3,2,1,4866.9325
"116",2018,7,1,6,1,1,4865.016
"117",2019,12,1,2,2,2,4857.441542
"118",2019,7,1,3,2,1,4844.821
"119",2018,1,7,37,6,2,4841.8225
"120",2019,2,1,2,2,2,4829.666737
"121",2018,6,1,5,4,1,4828.846
"122",2021,6,1,3,2,2,4816.9745
"123",2019,4,2,4,3,3,4771.1633
"124",2022,1,1,16,1,4,4767.931
"125",2018,7,1,5,4,1,4729.1015
"126",2018,3,1,11,1,1,4656.916
"127",2018,3,1,3,2,1,4645.03
"128",2019,2,2,4,3,3,4642.265299
"129",2020,8,1,8,1,1,4640.26
"130",2018,1,1,3,2,1,4638.512
"131",2018,9,1,6,1,1,4633.395
"132",2019,7,2,4,3,3,4631.5626
"133",2020,2,1,2,2,2,4619.640823
"134",2018,2,1,3,2,1,4597.7245
"135",2019,9,1,3,2,2,4550.9
"136",2021,1,1,3,2,2,4539.8715
"137",2021,6,1,14,7,1,4517.835
"138",2018,7,1,3,2,2,4513.6455
"139",2019,5,2,4,3,3,4503.7289
"140",2019,1,2,4,3,3,4500.604
"141",2019,8,1,2,2,2,4485.160796
"142",2020,4,1,46,1,1,4482.905
"143",2018,4,1,1,1,1,4479.3905
"144",2020,9,1,11,1,1,4448.93
"145",2019,2,1,3,2,1,4447.216
"146",2020,6,1,3,2,1,4446.6105
"147",2019,3,2,4,3,3,4445.8657
"148",2018,1,1,3,2,2,4440.104
"149",2020,10,1,10,1,1,4422.6225
"150",2021,3,2,4,3,3,4420.5434
"151",2021,12,2,6,1,1,4400.5
"152",2019,3,1,3,2,1,4371.536
"153",2020,1,1,11,1,1,4368.015
"154",2020,12,1,11,1,1,4357.34
"155",2019,8,1,3,2,1,4328.402
"156",2018,10,2,4,3,3,4328.1414
"157",2020,12,1,14,7,1,4318.23
"158",2021,12,4,3,2,1,4293.035
"159",2021,11,1,3,2,2,4292.2935
"160",2021,12,1,110,4,1,4289.7335
"161",2019,11,1,3,2,1,4272.191
"162",2019,9,1,22,1,1,4271.6875
"163",2021,7,1,11,1,1,4265.47
"164",2020,9,1,3,2,2,4243.406
"165",2021,9,1,8,1,1,4242.96
"166",2018,2,1,5,4,1,4224.3875
"167",2021,11,1,1,1,1,4194.23
"168",2021,4,2,9,5,4,4193.11
"169",2019,10,1,7,1,1,4169.5945
"170",2019,1,1,3,2,2,4155.1975
"171",2020,5,1,2,2,2,4154.63416
"172",2020,9,1,10,1,1,4149.3325
"173",2018,8,1,3,2,2,4139.6045
"174",2020,7,1,3,2,2,4119.0125
"175",2018,5,1,3,2,1,4116.5245
"176",2019,1,2,9,5,4,4114.1425
"177",2019,9,1,2,2,2,4102.217425
"178",2020,2,2,4,3,3,4098.6504
"179",2018,3,4,11,1,1,4086.69
"180",2021,10,4,3,2,1,4074.5875
"181",2018,8,1,3,2,1,4074.43
"182",2018,2,2,4,3,3,4058.64085
"183",2021,4,1,3,2,2,4034.599
"184",2020,11,1,3,2,1,4028.1295
"185",2021,7,1,3,2,2,4027.6695
"186",2021,4,1,5,4,1,4019.1085
"187",2018,10,1,24,2,2,4015.265
"188",2019,2,1,6,1,1,4012.789
"189",2021,2,2,9,5,4,3992.95
"190",2021,1,2,4,3,3,3991.281298
"191",2020,9,1,16,1,4,3968.583
"192",2021,5,2,4,3,3,3966.6868
"193",2022,1,1,24,2,2,3959.77335
"194",2019,8,1,34,4,1,3955.1875
"195",2018,4,1,3,2,1,3949.307
"196",2019,12,1,3,2,1,3940.016
"197",2019,2,2,9,5,4,3934.52
"198",2021,8,1,8,1,1,3933.115
"199",2021,1,1,10,1,1,3931.6625
"200",2019,4,1,3,2,1,3898.4185
"201",2019,8,2,4,3,3,3875.7141
"202",2018,3,1,6,1,1,3872.6055
"203",2019,5,1,3,2,1,3867.6075
"204",2019,8,1,3,2,2,3865.765
"205",2018,5,2,4,3,3,3855.48175
"206",2021,4,1,11,1,1,3853.39
"207",2019,2,1,19,6,1,3837.079
"208",2021,5,1,14,7,1,3835.81
"209",2020,6,2,9,5,4,3820.59
"210",2021,1,2,24,2,2,3816.57215
"211",2019,11,2,4,3,3,3810.5088
"212",2021,6,1,8,1,1,3809.2
"213",2018,11,1,6,1,1,3803.8515
"214",2021,9,2,4,3,3,3789.505399
"215",2021,5,1,10,1,1,3785.5775
"216",2022,2,2,6,1,1,3781.5
"217",2021,6,1,16,1,4,3760.9095
"218",2018,2,1,13,6,4,3758.17
"219",2021,3,2,9,5,4,3757.03
"220",2021,7,1,8,1,1,3753.07
"221",2019,7,1,3,2,2,3751.3195
"222",2018,3,1,3,2,2,3739.8315
"223",2018,11,1,5,4,1,3736.145
"224",2018,8,2,40,3,8,3728.39676
"225",2021,3,1,16,1,4,3711.7525
"226",2021,2,1,10,1,1,3711.69
"227",2020,1,1,3,2,2,3708.413
"228",2018,1,1,6,1,1,3704.4175
"229",2018,4,2,4,3,3,3703.27145
"230",2021,6,1,10,1,1,3677.05
"231",2019,9,2,4,3,3,3676.3282
"232",2018,9,1,3,2,1,3666.443
"233",2021,5,1,3,2,2,3649.7225
"234",2018,7,2,9,5,4,3642.44
"235",2021,11,1,14,7,1,3640.08
"236",2019,5,2,9,5,4,3634.79
"237",2021,4,2,4,3,3,3631.0586
"238",2018,4,1,19,6,1,3625.024
"239",2021,8,1,10,1,1,3622.0925
"240",2019,10,2,4,3,3,3617.882
"241",2019,3,1,3,2,2,3613.96
"242",2021,4,1,14,7,1,3601.55
"243",2020,11,1,10,1,1,3596.61
"244",2018,6,1,16,1,4,3590.793
"245",2021,3,1,6,1,1,3585.549
"246",2021,6,4,27,1,1,3584.475
"247",2020,1,1,3,2,1,3583.5525
"248",2020,1,2,4,3,3,3573.581
"249",2018,3,2,4,3,3,3564.6235
"250",2020,12,1,10,1,1,3559.0105
"251",2021,2,2,4,3,3,3554.2826
"252",2018,7,2,4,3,3,3550.3908
"253",2021,1,1,14,7,1,3549.85
"254",2021,5,1,1,1,1,3547.105
"255",2021,7,1,10,1,1,3540.822
"256",2020,12,1,6,1,1,3531.1185
"257",2021,8,2,9,5,4,3531.04
"258",2020,8,1,6,1,1,3523.8125
"259",2021,10,7,37,6,2,3522.7325
"260",2019,4,1,6,1,1,3515.1895
"261",2019,7,7,37,6,2,3487.665
"262",2019,5,1,3,2,2,3466.403
"263",2021,1,2,9,5,4,3464.34
"264",2020,8,2,9,5,4,3447.265
"265",2021,1,4,3,2,1,3442.0875
"266",2018,5,1,5,4,1,3438.6025
"267",2018,6,2,4,3,3,3432.02985
"268",2019,2,1,3,2,2,3428.474
"269",2019,4,3,17,2,5,3422.797771
"270",2019,3,1,6,1,1,3420.2675
"271",2020,9,6,44,2,6,3411.9105
"272",2022,1,1,13,6,4,3400
"273",2019,11,1,3,2,2,3398.8395
"274",2018,1,2,4,3,3,3393.916
"275",2019,7,2,9,5,4,3390.355
"276",2018,9,2,4,3,3,3386.318697
"277",2021,10,1,7,1,1,3381.9125
"278",2018,10,1,6,1,1,3379.4075
"279",2021,11,1,8,1,1,3373.19
"280",2020,5,1,11,1,1,3372.145
"281",2021,4,1,10,1,1,3370.7375
"282",2018,4,1,3,2,2,3370.5655
"283",2018,8,1,16,1,4,3370.2565
"284",2020,12,1,13,6,4,3363.85
"285",2021,12,1,10,1,1,3363.731
"286",2020,7,1,10,1,1,3363.255
"287",2019,4,1,16,1,4,3352.9675
"288",2018,6,1,3,2,2,3349.8695
"289",2022,1,1,10,1,1,3348.355
"290",2020,8,1,10,1,1,3338.443
"291",2021,9,6,44,2,6,3335.771
"292",2022,1,2,9,5,4,3333.02
"293",2019,9,1,18,1,1,3317.29
"294",2020,6,1,11,1,1,3307.155
"295",2021,10,1,3,2,2,3305.209
"296",2020,6,1,10,1,1,3302.445
"297",2020,1,2,9,5,4,3294.525
"298",2018,5,1,3,2,2,3289.956
"299",2021,5,1,8,1,1,3280.74
"300",2021,3,1,3,2,2,3279.6205
"301",2018,8,1,24,2,2,3265.7765
"302",2021,8,1,14,7,1,3260.915
"303",2021,2,1,6,1,1,3256.3965
"304",2018,11,1,25,1,1,3254.8945
"305",2021,6,2,9,5,4,3245.13
"306",2020,7,3,28,2,6,3239.815
"307",2019,3,3,17,2,5,3234.158921
"308",2020,9,2,9,5,4,3233.62
"309",2019,12,1,12,1,1,3232.3
"310",2021,4,1,16,1,4,3226.648
"311",2021,10,2,9,5,4,3226.16
"312",2021,12,7,2,2,2,3221.808609
"313",2020,7,2,9,5,4,3221.2425
"314",2021,11,2,9,5,4,3218.52
"315",2021,9,2,9,5,4,3211.66
"316",2020,4,2,9,5,4,3202.23
"317",2022,2,1,2,2,2,3200.25468
"318",2021,3,1,10,1,1,3192.1425
"319",2019,6,1,16,1,4,3186.8295
"320",2021,9,1,14,7,1,3177.14
"321",2020,11,1,22,1,1,3172.7925
"322",2021,10,1,1,1,1,3167.915
"323",2021,10,1,16,1,4,3167.089
"324",2021,9,1,10,1,1,3166.455
"325",2021,6,4,3,2,1,3161.25
"326",2018,8,2,4,3,3,3157.796
"327",2019,12,1,1,1,1,3154.09
"328",2020,12,1,8,1,1,3148.665
"329",2020,6,1,13,6,4,3146.26
"330",2018,5,1,6,1,1,3146.0775
"331",2021,4,2,24,2,2,3138.167894
"332",2019,10,1,3,2,2,3134.647
"333",2018,6,1,3,2,1,3131.985
"334",2020,11,1,13,6,4,3113.03
"335",2020,11,2,9,5,4,3098.05
"336",2021,11,1,10,1,1,3093.6375
"337",2019,11,1,5,4,1,3089.275
"338",2020,11,1,3,2,2,3083.345
"339",2020,7,1,5,4,1,3077.5475
"340",2021,7,2,9,5,4,3077.04
"341",2019,1,1,19,6,1,3065.119
"342",2021,2,1,16,1,4,3063.044
"343",2020,2,2,9,5,4,3062.84
"344",2018,2,1,6,1,1,3059.9785
"345",2018,1,1,11,1,1,3049.742
"346",2018,1,1,19,6,1,3047.4095
"347",2020,8,2,5,4,1,3035.72
"348",2021,7,1,2,2,2,3034.443452
"349",2019,8,1,18,1,1,3022.7175
"350",2021,6,1,32,7,1,3018.875
"351",2021,7,1,16,1,4,3013.8645
"352",2021,7,7,2,2,2,3011.453069
"353",2021,5,2,9,5,4,3010.22
"354",2021,9,1,20,1,1,3004.37
"355",2020,10,1,18,1,1,2999.73
"356",2021,10,1,10,1,1,2997.485
"357",2021,7,5,69,1,1,2995.965
"358",2020,9,2,15,7,2,2995.31
"359",2018,11,2,4,3,3,2987.2458
"360",2021,11,2,4,3,3,2982.639398
"361",2019,10,2,31,2,2,2982.155
"362",2019,10,1,10,1,1,2978.195
"363",2019,1,6,24,2,6,2969.606616
"364",2019,9,1,5,4,1,2965.8425
"365",2019,1,2,26,2,2,2965.610116
"366",2020,5,7,2,2,2,2959.407573
"367",2020,11,1,8,1,1,2958.269
"368",2018,3,1,24,2,2,2953.566
"369",2019,3,2,40,3,8,2947.2729
"370",2018,11,1,10,1,1,2944.0125
"371",2021,9,1,3,2,1,2937.3235
"372",2018,6,1,11,1,1,2936.43
"373",2021,3,4,23,7,2,2934.78
"374",2018,1,2,31,2,2,2917.945
"375",2021,11,4,3,2,1,2907.9835
"376",2021,10,1,8,1,1,2907.415
"377",2018,7,5,21,3,2,2905.5075
"378",2021,2,1,24,2,1,2898.590923
"379",2018,3,1,5,4,1,2889.8565
"380",2020,6,1,14,7,1,2883.935
"381",2021,10,2,4,3,3,2883.0139
"382",2022,1,1,24,2,1,2875.144863
"383",2018,1,1,10,1,1,2870.2565
"384",2020,10,7,37,6,2,2867.2155
"385",2018,10,1,5,4,1,2864.2875
"386",2018,1,1,24,2,2,2860.8895
"387",2021,1,1,8,1,1,2858.32
"388",2020,11,3,28,2,6,2850.215
"389",2018,1,2,24,2,2,2844.876282
"390",2020,10,1,14,7,1,2839.125
"391",2020,9,2,4,3,3,2826.0619
"392",2021,1,5,81,11,1,2822.31
"393",2021,1,7,2,2,2,2819.836561
"394",2020,12,2,4,3,3,2818.9276
"395",2020,9,2,5,4,1,2814.4885
"396",2021,12,1,1,1,1,2805.015
"397",2021,1,3,28,2,6,2801.3265
"398",2020,5,1,10,1,1,2790.303
"399",2021,2,1,14,7,1,2783.495
"400",2018,7,1,16,1,4,2782.349
"401",2019,7,1,43,1,1,2777.592
"402",2021,2,1,8,1,1,2775.83
"403",2020,6,1,18,1,1,2771.6325
"404",2021,1,1,16,1,4,2768.5745
"405",2020,8,1,3,2,2,2768.1685
"406",2018,12,1,3,2,1,2766.379
"407",2021,4,1,8,1,1,2763.96
"408",2021,1,1,18,1,1,2760.9975
"409",2020,12,1,22,1,1,2760.145
"410",2020,3,1,8,1,1,2750.38
"411",2021,4,3,28,2,6,2747.8895
"412",2021,4,7,2,2,2,2740.083272
"413",2021,6,3,28,2,6,2735.7325
"414",2020,6,1,3,2,2,2732.352
"415",2018,3,5,21,3,2,2730.6105
"416",2019,4,1,3,2,2,2725.7125
"417",2019,12,1,3,2,2,2722.9875
"418",2020,2,1,3,2,1,2722.4155
"419",2020,8,3,28,2,6,2721.008
"420",2021,3,1,8,1,1,2720.48
"421",2019,3,7,37,6,2,2717.1775
"422",2020,9,1,14,7,1,2714.43
"423",2021,3,1,11,1,1,2713.08
"424",2018,9,6,24,2,6,2712.154442
"425",2021,8,1,16,1,4,2706.302
"426",2020,3,1,10,1,1,2705.92
"427",2020,2,1,8,1,1,2704.69
"428",2018,2,1,2,2,1,2702.072081
"429",2018,7,1,2,2,1,2693.98528
"430",2020,5,2,9,5,4,2692.71
"431",2018,3,1,45,6,1,2691.125
"432",2021,2,6,44,2,6,2690.789
"433",2021,3,1,14,7,1,2688.43
"434",2021,9,4,27,1,1,2684.985
"435",2019,10,2,24,2,2,2667.337757
"436",2021,3,2,40,3,8,2665.943975
"437",2019,6,2,9,5,4,2664.65
"438",2019,11,2,9,5,4,2657.44
"439",2018,10,1,10,1,1,2634.403
"440",2018,2,1,14,7,1,2630.14
"441",2020,3,1,3,2,1,2629.875
"442",2019,1,1,16,1,4,2621.569
"443",2021,6,1,5,4,1,2620.017
"444",2020,10,2,24,2,2,2616.941072
"445",2020,7,1,16,1,4,2616.113
"446",2018,1,5,21,3,2,2616.0035
"447",2019,1,1,5,4,1,2605.4325
"448",2019,7,1,11,1,1,2599.42
"449",2021,8,1,20,1,1,2599.04
"450",2020,4,1,16,1,4,2592.1705
"451",2020,8,7,2,2,2,2589.938736
"452",2019,8,1,10,1,1,2589.0355
"453",2019,5,2,24,2,2,2586.802402
"454",2019,10,2,9,5,4,2586.77
"455",2019,5,1,16,1,4,2586.0335
"456",2018,1,1,2,2,1,2572.014346
"457",2020,5,1,6,1,1,2565.112
"458",2019,2,1,12,1,1,2559.44
"459",2021,12,2,9,5,4,2557.12
"460",2022,1,2,6,1,1,2546.7725
"461",2021,9,1,16,1,4,2545.4015
"462",2018,2,2,31,2,2,2536.4475
"463",2018,8,6,24,2,6,2536.148291
"464",2018,10,1,16,1,4,2530.6735
"465",2020,10,1,11,1,1,2528.98
"466",2018,1,1,16,1,4,2528.7465
"467",2018,2,1,11,1,1,2523.24
"468",2020,8,1,16,1,4,2510.548
"469",2020,10,2,5,4,1,2495.5425
"470",2020,3,6,48,9,6,2495.403
"471",2019,12,2,4,3,3,2494.0963
"472",2018,5,1,24,2,2,2490.204
"473",2022,2,1,3,2,1,2489.9275
"474",2021,9,1,22,1,1,2482.81
"475",2018,6,7,29,6,7,2475.725663
"476",2019,8,1,12,1,1,2472.04
"477",2018,7,1,25,1,1,2463.7915
"478",2020,10,2,4,3,3,2452.698
"479",2021,11,1,11,1,1,2452.19
"480",2021,6,5,21,3,2,2448.9805
"481",2018,2,1,45,6,1,2447.1085
"482",2020,2,1,3,2,2,2445.1535
"483",2019,6,1,46,1,1,2444.7
"484",2018,6,6,48,9,6,2444.106
"485",2021,5,1,13,6,4,2443.775
"486",2021,2,7,33,8,2,2434.18
"487",2019,7,6,24,2,6,2429.747172
"488",2021,9,11,8,1,1,2425.865
"489",2018,10,2,26,2,2,2422.301301
"490",2020,4,1,6,1,1,2420.5275
"491",2019,10,6,48,9,6,2402.9125
"492",2019,6,1,18,1,1,2399.675
"493",2018,3,1,16,1,4,2396.1215
"494",2018,12,2,26,2,2,2391.556354
"495",2021,1,2,66,2,2,2390.9785
"496",2018,12,7,37,6,2,2390.165
"497",2020,6,2,4,3,3,2388.5216
"498",2018,8,3,28,2,6,2383.6675
"499",2021,3,7,29,6,7,2380.487072
"500",2019,1,2,50,3,8,2374.40935
"501",2019,6,1,24,2,2,2373.7875
"502",2021,11,7,137,1,1,2368.97
"503",2019,11,6,48,9,6,2368.0045
"504",2018,11,1,3,2,1,2364.983
"505",2022,2,9,49,8,8,2364.197975
"506",2021,1,1,7,1,1,2358.9805
"507",2020,4,4,23,7,2,2358.91
"508",2019,7,5,21,3,2,2357.805
"509",2018,5,1,2,2,1,2353.589597
"510",2021,5,7,37,6,2,2353.4645
"511",2020,1,1,10,1,1,2351.865
"512",2020,9,1,78,6,1,2349.727
"513",2021,1,1,11,1,1,2346.82
"514",2018,1,2,2,2,2,2343.053558
"515",2020,7,1,41,1,1,2339.3885
"516",2018,4,6,24,2,6,2338.989918
"517",2020,10,2,31,2,2,2337.065
"518",2018,3,3,48,9,6,2334.475
"519",2021,2,6,53,9,6,2331.498302
"520",2021,6,7,37,6,2,2330.25
"521",2019,5,5,21,3,2,2328.6225
"522",2021,1,2,59,2,2,2327.6155
"523",2020,12,7,37,6,2,2327.245
"524",2021,11,4,117,1,10,2322.877
"525",2018,1,4,6,1,1,2319.8085
"526",2018,10,6,24,2,6,2314.134576
"527",2019,12,1,47,8,1,2313.2875
"528",2020,11,1,7,1,1,2301.6285
"529",2021,11,7,37,6,2,2301.49
"530",2019,4,1,5,4,1,2301.18
"531",2018,4,1,24,2,2,2299.444
"532",2018,6,3,35,2,6,2299.27
"533",2021,8,2,4,3,3,2294.5704
"534",2019,11,2,24,2,2,2294.487646
"535",2018,9,1,3,2,2,2293.3815
"536",2018,12,2,4,3,3,2292.047
"537",2021,1,1,13,6,4,2292.01
"538",2019,1,1,13,6,4,2291.38
"539",2020,11,2,4,3,3,2289.6538
"540",2021,2,7,29,6,7,2286.568817
"541",2020,12,1,19,6,1,2286.5545
"542",2018,5,6,24,2,6,2283.503001
"543",2021,8,11,93,1,1,2265.58
"544",2022,2,1,13,6,4,2260
"545",2022,1,2,24,2,2,2258.99214
"546",2018,3,7,29,6,7,2258.747548
"547",2019,9,1,11,1,1,2258.25
"548",2020,3,7,1,1,2,2254.45
"549",2019,9,2,9,5,4,2244.69
"550",2018,2,6,24,2,6,2242.103178
"551",2021,6,1,11,1,1,2241.94
"552",2018,9,1,5,4,1,2239.969
"553",2020,7,2,26,2,2,2239.095172
"554",2019,4,2,9,5,4,2236.4
"555",2021,8,1,11,1,1,2234.6
"556",2019,9,1,10,1,1,2234.4725
"557",2022,1,1,22,1,1,2233
"558",2018,5,3,35,2,6,2232.2985
"559",2020,2,1,19,6,1,2230.378
"560",2019,5,6,24,2,6,2228.498763
"561",2021,1,4,23,7,2,2222.58
"562",2020,10,7,2,2,2,2222.442467
"563",2018,7,2,26,2,2,2221.494791
"564",2019,12,1,13,6,4,2219.32
"565",2018,4,7,29,6,7,2219.170019
"566",2020,11,2,24,2,2,2218.592659
"567",2019,4,5,21,3,2,2216.5775
"568",2018,8,3,35,2,6,2215.13
"569",2021,5,7,29,6,7,2214.83083
"570",2020,1,2,24,2,2,2213.852594
"571",2019,8,2,9,5,4,2213.575
"572",2021,12,2,4,3,3,2207.797834
"573",2020,2,1,13,6,4,2207.22
"574",2020,3,7,29,6,7,2203.725266
"575",2021,10,6,56,2,6,2198.667
"576",2018,2,5,21,3,2,2195.501
"577",2019,12,2,24,2,2,2191.154627
"578",2018,4,1,20,1,1,2186.98
"579",2021,5,1,16,1,4,2186.4285
"580",2021,7,1,5,4,1,2186.3525
"581",2019,11,1,14,7,1,2185.12
"582",2021,12,1,24,2,2,2181.965135
"583",2020,2,1,10,1,1,2180.3475
"584",2018,11,2,40,3,8,2176.371
"585",2018,1,7,29,6,7,2175.282808
"586",2018,5,2,26,2,2,2172.805726
"587",2019,10,1,16,1,4,2170.255
"588",2019,2,2,31,2,2,2168.8925
"589",2018,4,1,16,1,4,2166.4015
"590",2021,8,1,3,2,2,2163.564
"591",2020,6,7,29,6,7,2155.987512
"592",2019,3,1,19,6,1,2155.2885
"593",2019,11,1,10,1,1,2154.9205
"594",2021,12,3,26,2,2,2153.627203
"595",2021,2,7,3,2,2,2153.6055
"596",2018,5,1,1,1,1,2153.594
"597",2019,9,1,16,1,4,2148.92
"598",2020,12,7,2,2,2,2140.590349
"599",2021,4,7,29,6,7,2137.908494
"600",2018,6,1,20,1,1,2134.36
"601",2018,2,1,16,1,4,2133.9355
"602",2018,11,6,24,2,6,2132.3804
"603",2018,11,7,29,6,7,2127.50456
"604",2018,5,7,29,6,7,2125.025455
"605",2019,5,1,6,1,1,2124.9455
"606",2021,2,4,3,2,1,2122.794
"607",2020,10,1,38,1,1,2121.775
"608",2020,4,6,53,9,6,2120.863877
"609",2018,5,1,20,1,1,2118.9905
"610",2019,8,1,16,1,4,2118.2475
"611",2018,12,6,24,2,6,2115.91605
"612",2021,11,5,21,3,2,2112.2145
"613",2020,8,1,45,6,1,2111.098
"614",2019,5,7,37,6,2,2110.5475
"615",2018,12,1,3,2,2,2109.3285
"616",2020,3,1,2,2,2,2109.29897
"617",2020,8,2,24,2,2,2105.975029
"618",2021,12,1,22,1,1,2105
"619",2021,7,1,1,1,1,2104.03
"620",2020,6,2,26,2,2,2103.293616
"621",2019,5,7,29,6,7,2102.957594
"622",2022,1,7,29,6,7,2102.196721
"623",2018,4,2,31,2,2,2099.91
"624",2019,8,3,24,2,6,2099.2905
"625",2018,4,1,6,1,1,2095.65
"626",2019,3,6,24,2,6,2095.190332
"627",2018,6,8,42,2,9,2090.57178
"628",2020,10,1,90,1,1,2087.04
"629",2018,8,1,2,2,1,2086.980425
"630",2018,6,6,24,2,6,2086.834338
"631",2020,9,7,2,2,2,2082.42294
"632",2020,10,1,6,1,1,2081.878
"633",2021,2,5,21,3,2,2075.06
"634",2018,12,7,29,6,7,2068.158887
"635",2018,5,5,21,3,2,2064.695
"636",2020,1,1,30,1,1,2064.63
"637",2020,2,6,53,9,6,2061.39935
"638",2018,1,1,5,4,1,2060.8085
"639",2019,5,7,2,2,2,2052.87459
"640",2021,3,2,24,2,2,2044.087485
"641",2020,6,1,8,1,1,2042.61
"642",2020,2,1,5,4,1,2041.6125
"643",2019,12,1,14,7,1,2041.51
"644",2020,5,2,15,7,2,2036.31
"645",2018,3,1,2,2,1,2034.462548
"646",2020,1,1,8,1,1,2033.87
"647",2019,1,1,10,1,1,2032.845
