Year,Month Name,Plant ,Customer Name ,Primary Market Code ,Material Type,Shipped Tons
2021,April,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7329.9475
2020,January,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7314.0545
2020,September,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7299.2995
2019,February,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7252.9945
2019,July,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,7152.2775
2021,July,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,7123.014
2020,February,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7101.856
2020,October,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7083.713
2021,December,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,7081.4535
2017,July,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7072.684
2021,April,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,7049.692
2018,July,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7038.385
2020,March,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,7033.003
2020,August,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,6955.1685
2021,November,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,6744.9215
2021,June,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,6738.5995
2019,September,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,6726.51
2021,May,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,6666.7635
2019,May,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,6646.9355
2020,May,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,6584.5725
2021,September,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,6561.9655
2019,April,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,6541.3925
2019,May,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,6417.1275
2020,November,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,6328.736
2019,February,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,6227.645
2019,August,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,6213.835
2021,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,6204.074
2021,March,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,6177.1555
2017,September,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,6117.0675
2019,January,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,6100.025
2020,December,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,6097.7365
2018,August,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,6070.805
2019,October,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,6060.898
2021,August,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,6048.377
2019,June,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,6038.6385
2017,August,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5990.214
2021,May,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5983.581
2018,October,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,5934.835
2020,October,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,5868.715
2017,June,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,5801.79
2021,February,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,5774.861
2019,June,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,5746.3875
2019,September,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5738.9305
2019,March,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,5732.4575
2020,January,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,5726.755
2020,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,5675.3635
2018,July,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,5659.276
2020,October,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,5580.1565
2017,August,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,5563.9575
2017,October,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,5548.228
2022,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,5539.617
2018,February,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,5503.175
2020,February,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,5502.876
2019,October,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,5496.5675
2017,December,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5456.7545
2018,August,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,5424.269
2018,January,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,5408.9265
2020,November,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,5384.456
2018,May,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,5351.38
2020,January,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,5329.845
2021,April,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,5287.092
2019,October,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,5262.908
2020,April,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,5260.599
2018,March,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,5240.79
2019,August,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,5230.523
2020,September,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,5196.22
2020,January,Plant_1,Customer_7,Primary_Market_Code_1,Material_Type_1,5192.6095
2020,June,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5179.78
2020,August,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,5178.911
2021,October,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5175.9745
2019,August,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,5174.878
2019,May,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,5151.5605
2019,October,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,5117.2575
2021,January,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,5091.885
2018,November,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,5081.3525
2018,April,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,5065.4525
2021,February,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,5064.0205
2021,November,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,5056.71
2018,July,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,5052.9725
2019,November,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5044.132
2018,February,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,5040.8
2018,December,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5036.2685
2018,June,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,5017.4525
2018,October,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,5001.4955
2018,September,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4964.1725
2020,March,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,4952.451
2019,March,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4943.113
2019,June,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4932.8935
2018,June,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4925.962
2020,December,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4894.368
2019,September,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4893.0525
2020,July,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,4887.502
2018,October,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4886.508
2020,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4882.6275
2021,April,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4834.5145
2018,May,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4829.669
2019,November,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4815.8015
2018,October,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,4804.406
2021,October,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4772.964
2022,January,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4750.2195
2021,November,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4737.3985
2021,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4734.3435
2021,September,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4733.17
2021,March,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4721.845
2021,December,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,4721.4105
2020,February,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4717.5225
2018,January,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,4702.45
2020,May,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,4688.69
2020,February,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4687.8105
2018,March,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4676.0755
2018,August,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4641.2305
2019,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4613.0225
2019,September,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4597.9555
2018,May,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,4588.59
2021,February,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4587.177
2018,November,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4554.955
2018,March,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,4549.2875
2019,November,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4548.705
2021,December,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,4540.865
2021,May,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4536.302
2017,September,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4527.55
2021,May,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4503.7505
2020,October,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,4499.44
2018,September,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4479.0815
2018,April,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4475.4855
2020,July,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4462.031
2019,November,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,4458.87
2018,May,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4445.8025
2018,June,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,4435.4665
2019,April,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4419.199
2018,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4407.5905
2021,June,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4401.648
2017,November,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4394.87
2019,May,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,4386.9335
2021,October,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,4378.445
2017,October,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4370.06
2019,September,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4365.1775
2019,July,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4357.553
2020,June,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,4350.2425
2018,April,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4348.6635
2020,March,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,4328.356
2020,February,Plant_1,Customer_12,Primary_Market_Code_1,Material_Type_1,4313.93
2019,August,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4289.0065
2017,July,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4279.2825
2018,March,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4266.3995
2021,July,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4262.034
2020,September,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,4255.3625
2017,November,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4229.945
2018,August,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,4228.135
2019,February,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4221.7125
2019,April,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4220.826
2021,May,Plant_1,Customer_13,Primary_Market_Code_6,Material_Type_4,4214.26
2021,August,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4214.1975
2018,April,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,4200.51
2018,March,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,4188.975
2018,November,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,4187.5725
2021,June,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,4165.84
2021,September,Plant_1,Customer_14,Primary_Market_Code_7,Material_Type_1,4161.08
2017,June,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4160.202
2020,November,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,4151.8575
2018,February,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,4145.605
2020,October,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,4134.86
2017,August,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4130.569
2018,March,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,4124.755
2018,April,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,4120.6175
2018,February,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4117.778
2018,August,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4114.976
2019,June,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4104.2865
2021,January,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4098.0745
2021,June,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,4096.165
2019,July,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4093.0985
2021,February,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,4066.55
2021,June,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4063.94
2021,April,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,4062.27
2021,March,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,4057.2
2021,March,Plant_1,Customer_14,Primary_Market_Code_7,Material_Type_1,4052.455
2020,April,Plant_2,Customer_15,Primary_Market_Code_7,Material_Type_2,4039.325
2020,June,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4035.2235
2019,December,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4019.1825
2020,February,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4007.4245
2021,June,Plant_1,Customer_14,Primary_Market_Code_7,Material_Type_1,3999.73
2017,December,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3993.805
2021,January,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3968.3
2022,January,Plant_1,Customer_14,Primary_Market_Code_7,Material_Type_1,3966.2
2017,August,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,3964.3165
2020,September,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3922.273
2019,November,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,3906.0055
2021,August,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,3898.57
2021,September,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,3897.03
2018,June,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3895.809
2019,May,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3888.593
2021,December,Plant_1,Customer_14,Primary_Market_Code_7,Material_Type_1,3875.825
2017,December,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,3875
2021,September,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3869.5825
2021,November,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,3854.2005
2019,February,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3846.336
2020,December,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3826.3875
2019,January,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,3818.456
2021,August,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,3808.3455
2019,December,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,3792.1285
2020,August,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3779.045
2017,October,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,3775.3
2021,June,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3772.04
2021,August,Plant_1,Customer_14,Primary_Market_Code_7,Material_Type_1,3767.29
2019,November,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3762.4075
2020,October,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,3731.89
2018,June,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,3730.59
2021,February,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3727.47
2020,October,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3725.4785
2020,July,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3716.52
2019,March,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3712.2925
2020,November,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3699.869
2021,February,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,3696.4655
2021,August,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,3688.5
2020,November,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3688.389
2018,September,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3687.481
2020,August,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,3677.4465
2021,June,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,3676.14
2020,July,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,3670.93
2020,July,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,3664.55
2021,September,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,3662.395
2017,September,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,3659.757
2017,November,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3655.035
2021,February,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3654.89
2019,March,Plant_3,Customer_17,Primary_Market_Code_2,Material_Type_5,3630.9625
2020,October,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3630.084
2019,April,Plant_3,Customer_17,Primary_Market_Code_2,Material_Type_5,3625.5975
2017,December,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,3620.7545
2018,October,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,3619.4875
2018,July,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3617.3355
2020,December,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3616.0825
2021,January,Plant_1,Customer_18,Primary_Market_Code_1,Material_Type_1,3612.2075
2018,July,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,3609.8105
2020,July,Plant_1,Customer_13,Primary_Market_Code_6,Material_Type_4,3590.15
2018,August,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3584.01
2021,August,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3582.8225
2022,January,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,3575.31
2019,February,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3565.32
2021,July,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,3557.77
2020,March,Plant_1,Customer_12,Primary_Market_Code_1,Material_Type_1,3545.14
2018,November,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3543.131
2018,February,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,3530.2395
2017,August,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,3510.9825
2020,September,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3507.051
2021,August,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3501.73
2018,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,3499.9635
2017,November,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,3499.185
2019,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3498.222
2020,July,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3494.4435
2018,March,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,3489.731
2019,May,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3487.63
2017,October,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3484.74
2021,July,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3478.975
2021,November,Plant_4,Customer_3,Primary_Market_Code_2,Material_Type_1,3469.8685
2021,May,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3468.8825
2020,August,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3455.694
2020,June,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3449.505
2020,July,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3446.005
2019,April,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,3439.5635
2021,January,Plant_1,Customer_14,Primary_Market_Code_7,Material_Type_1,3437.405
2021,March,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3434.7875
2021,January,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3433.61
2020,June,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3433.28
2021,September,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,3431.5215
2017,October,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,3419.2065
2021,September,Plant_4,Customer_3,Primary_Market_Code_2,Material_Type_1,3407.6315
2018,November,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,3405.6325
2021,January,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,3404.975
2022,January,Plant_4,Customer_3,Primary_Market_Code_2,Material_Type_1,3397.4395
2018,July,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,3390.732
2019,December,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,3390.346
2021,November,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3386.795
2017,June,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,3384.576
2017,July,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3357.756
2020,April,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3354.432
2017,November,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,3354.13
2021,September,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3338.1125
2021,April,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3337.3825
2020,August,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3327.59
2020,January,Plant_1,Customer_12,Primary_Market_Code_1,Material_Type_1,3321.6
2017,November,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,3318.8725
2021,November,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3313.6275
2017,July,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,3311.9785
2018,December,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3304.3625
2020,December,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3300.0015
2021,August,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3295.8145
2019,February,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,3290.429
2020,June,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,3286.1375
2021,October,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3282.323
2020,November,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3277.5925
2017,August,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3257.3845
2020,March,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,3251.0875
2021,May,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,3250.91
2022,January,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3238.73
2017,September,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3236.9345
