Year,Month Name,Plant,Customer Name ,Primary Market Code ,Material Type,Booked Tons
2020,January,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,8454.462
2021,May,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,8414.475769
2018,January,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,8379.807097
2021,December,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,8283.382246
2022,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,8214.5875
2019,July,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,8163.291081
2018,July,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,8146.252699
2021,June,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,8059.751
2022,January,Plant_1,Customer_14,Primary_Market_Code_7,Material_Type_1,7958.665
2019,March,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7929.379172
2020,July,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7925.929116
2021,March,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7757.929025
2021,June,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7726.926895
2019,October,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,7649.94
2020,December,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,7623.4125
2020,January,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7514.214469
2021,February,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,7484.484
2020,February,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,7411.8705
2018,August,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,7362.114
2018,March,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,7276.88
2020,June,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7197.414528
2021,April,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,7172.516
2020,October,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,7136.535
2018,August,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,7092.367
2018,February,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7069.570828
2021,November,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,7069.082
2021,October,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,6998.1175
2020,September,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,6799.66
2019,June,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,6791.165483
2021,February,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,6790.155205
2018,September,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,6764.797438
2021,August,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,6710.5005
2019,October,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,6556.2655
2020,January,Plant_2,Customer_15,Primary_Market_Code_7,Material_Type_2,6517.75
2020,August,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,6401.352
2018,June,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,6305.554775
2020,September,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,6277.845
2020,April,Plant_1,Customer_25,Primary_Market_Code_1,Material_Type_1,6244.058
2021,July,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,6205.344
2019,May,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,6173.69829
2022,January,Plant_4,Customer_3,Primary_Market_Code_2,Material_Type_1,6143.494
2020,August,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5988.902177
2018,December,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5966.452288
2018,November,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5962.379309
2020,March,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,5913.3075
2020,July,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,5874.033
2021,May,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,5864.84
2018,April,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_2,5830.276
2021,December,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,5722.723
2018,April,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5721.008779
2020,October,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,5711.7555
2018,October,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,5708.411
2022,January,Plant_7,Customer_2,Primary_Market_Code_2,Material_Type_2,5635.080628
2020,October,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,5622.721
2020,May,Plant_1,Customer_18,Primary_Market_Code_1,Material_Type_1,5587.7185
2020,March,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,5566.0955
2021,November,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5554.393954
2019,April,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5543.939178
2019,November,Plant_1,Customer_38,Primary_Market_Code_1,Material_Type_1,5525.069
2018,July,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,5509.6305
2018,April,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,5479.618
2019,January,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,5474.4905
2020,November,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5423.324532
2018,October,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,5405.125
2019,June,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,5380.4715
2018,June,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,5336.84
2020,September,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5334.541879
2022,January,Plant_1,Customer_90,Primary_Market_Code_7,Material_Type_1,5332.77
2021,April,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5328.493626
2021,October,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5318.03703
2018,February,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,5300.7545
2018,July,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,5262.804
2020,October,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,5195.37
2019,November,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5193.173479
2021,September,Plant_2,Customer_6,Primary_Market_Code_1,Material_Type_1,5144.0075
2020,July,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,5130.353
2021,August,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,5110.123993
2020,September,Plant_1,Customer_30,Primary_Market_Code_1,Material_Type_1,4966.96
2019,October,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4946.7375
2020,June,Plant_1,Customer_12,Primary_Market_Code_1,Material_Type_1,4946.32
2019,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4939.977
2020,December,Plant_1,Customer_7,Primary_Market_Code_1,Material_Type_1,4937.5545
2019,June,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4926.9511
2019,June,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4880.381
2020,May,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,4874.97
2019,September,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4866.9325
2018,July,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,4865.016
2019,December,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,4857.441542
2019,July,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4844.821
2018,January,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_2,4841.8225
2019,February,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,4829.666737
2018,June,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,4828.846
2021,June,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4816.9745
2019,April,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4771.1633
2022,January,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,4767.931
2018,July,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,4729.1015
2018,March,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,4656.916
2018,March,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4645.03
2019,February,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4642.265299
2020,August,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,4640.26
2018,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4638.512
2018,September,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,4633.395
2019,July,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4631.5626
2020,February,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,4619.640823
2018,February,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4597.7245
2019,September,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4550.9
2021,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4539.8715
2021,June,Plant_1,Customer_14,Primary_Market_Code_7,Material_Type_1,4517.835
2018,July,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4513.6455
2019,May,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4503.7289
2019,January,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4500.604
2019,August,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,4485.160796
2020,April,Plant_1,Customer_46,Primary_Market_Code_1,Material_Type_1,4482.905
2018,April,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,4479.3905
2020,September,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,4448.93
2019,February,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4447.216
2020,June,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4446.6105
2019,March,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4445.8657
2018,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4440.104
2020,October,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,4422.6225
2021,March,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4420.5434
2021,December,Plant_2,Customer_6,Primary_Market_Code_1,Material_Type_1,4400.5
2019,March,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4371.536
2020,January,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,4368.015
2020,December,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,4357.34
2019,August,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4328.402
2018,October,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4328.1414
2020,December,Plant_1,Customer_14,Primary_Market_Code_7,Material_Type_1,4318.23
2021,December,Plant_4,Customer_3,Primary_Market_Code_2,Material_Type_1,4293.035
2021,November,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4292.2935
2021,December,Plant_1,Customer_110,Primary_Market_Code_4,Material_Type_1,4289.7335
2019,November,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4272.191
2019,September,Plant_1,Customer_22,Primary_Market_Code_1,Material_Type_1,4271.6875
2021,July,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,4265.47
2020,September,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4243.406
2021,September,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,4242.96
2018,February,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,4224.3875
2021,November,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,4194.23
2021,April,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,4193.11
2019,October,Plant_1,Customer_7,Primary_Market_Code_1,Material_Type_1,4169.5945
2019,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4155.1975
2020,May,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,4154.63416
2020,September,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,4149.3325
2018,August,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4139.6045
2020,July,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4119.0125
2018,May,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4116.5245
2019,January,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,4114.1425
2019,September,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,4102.217425
2020,February,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4098.6504
2018,March,Plant_4,Customer_11,Primary_Market_Code_1,Material_Type_1,4086.69
2021,October,Plant_4,Customer_3,Primary_Market_Code_2,Material_Type_1,4074.5875
2018,August,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4074.43
2018,February,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,4058.64085
2021,April,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4034.599
2020,November,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,4028.1295
2021,July,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,4027.6695
2021,April,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,4019.1085
2018,October,Plant_1,Customer_24,Primary_Market_Code_2,Material_Type_2,4015.265
2019,February,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,4012.789
2021,February,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3992.95
2021,January,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3991.281298
2020,September,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,3968.583
2021,May,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3966.6868
2022,January,Plant_1,Customer_24,Primary_Market_Code_2,Material_Type_2,3959.77335
2019,August,Plant_1,Customer_34,Primary_Market_Code_4,Material_Type_1,3955.1875
2018,April,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,3949.307
2019,December,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,3940.016
2019,February,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3934.52
2021,August,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,3933.115
2021,January,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3931.6625
2019,April,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,3898.4185
2019,August,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3875.7141
2018,March,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,3872.6055
2019,May,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,3867.6075
2019,August,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3865.765
2018,May,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3855.48175
2021,April,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,3853.39
2019,February,Plant_1,Customer_19,Primary_Market_Code_6,Material_Type_1,3837.079
2021,May,Plant_1,Customer_14,Primary_Market_Code_7,Material_Type_1,3835.81
2020,June,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3820.59
2021,January,Plant_2,Customer_24,Primary_Market_Code_2,Material_Type_2,3816.57215
2019,November,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3810.5088
2021,June,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,3809.2
2018,November,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,3803.8515
2021,September,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3789.505399
2021,May,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3785.5775
2022,February,Plant_2,Customer_6,Primary_Market_Code_1,Material_Type_1,3781.5
2021,June,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,3760.9095
2018,February,Plant_1,Customer_13,Primary_Market_Code_6,Material_Type_4,3758.17
2021,March,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3757.03
2021,July,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,3753.07
2019,July,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3751.3195
2018,March,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3739.8315
2018,November,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,3736.145
2018,August,Plant_2,Customer_40,Primary_Market_Code_3,Material_Type_8,3728.39676
2021,March,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,3711.7525
2021,February,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3711.69
2020,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3708.413
2018,January,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,3704.4175
2018,April,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3703.27145
2021,June,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3677.05
2019,September,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3676.3282
2018,September,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,3666.443
2021,May,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3649.7225
2018,July,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3642.44
2021,November,Plant_1,Customer_14,Primary_Market_Code_7,Material_Type_1,3640.08
2019,May,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3634.79
2021,April,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3631.0586
2018,April,Plant_1,Customer_19,Primary_Market_Code_6,Material_Type_1,3625.024
2021,August,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3622.0925
2019,October,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3617.882
2019,March,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3613.96
2021,April,Plant_1,Customer_14,Primary_Market_Code_7,Material_Type_1,3601.55
2020,November,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3596.61
2018,June,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,3590.793
2021,March,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,3585.549
2021,June,Plant_4,Customer_27,Primary_Market_Code_1,Material_Type_1,3584.475
2020,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,3583.5525
2020,January,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3573.581
2018,March,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3564.6235
2020,December,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3559.0105
2021,February,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3554.2826
2018,July,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3550.3908
2021,January,Plant_1,Customer_14,Primary_Market_Code_7,Material_Type_1,3549.85
2021,May,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,3547.105
2021,July,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3540.822
2020,December,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,3531.1185
2021,August,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3531.04
2020,August,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,3523.8125
2021,October,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_2,3522.7325
2019,April,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,3515.1895
2019,July,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_2,3487.665
2019,May,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3466.403
2021,January,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3464.34
2020,August,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3447.265
2021,January,Plant_4,Customer_3,Primary_Market_Code_2,Material_Type_1,3442.0875
2018,May,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,3438.6025
2018,June,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3432.02985
2019,February,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3428.474
2019,April,Plant_3,Customer_17,Primary_Market_Code_2,Material_Type_5,3422.797771
2019,March,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,3420.2675
2020,September,Plant_6,Customer_44,Primary_Market_Code_2,Material_Type_6,3411.9105
2022,January,Plant_1,Customer_13,Primary_Market_Code_6,Material_Type_4,3400
2019,November,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3398.8395
2018,January,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3393.916
2019,July,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3390.355
2018,September,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3386.318697
2021,October,Plant_1,Customer_7,Primary_Market_Code_1,Material_Type_1,3381.9125
2018,October,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,3379.4075
2021,November,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,3373.19
2020,May,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,3372.145
2021,April,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3370.7375
2018,April,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3370.5655
2018,August,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,3370.2565
2020,December,Plant_1,Customer_13,Primary_Market_Code_6,Material_Type_4,3363.85
2021,December,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3363.731
2020,July,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3363.255
2019,April,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,3352.9675
2018,June,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3349.8695
2022,January,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3348.355
2020,August,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3338.443
2021,September,Plant_6,Customer_44,Primary_Market_Code_2,Material_Type_6,3335.771
2022,January,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3333.02
2019,September,Plant_1,Customer_18,Primary_Market_Code_1,Material_Type_1,3317.29
2020,June,Plant_1,Customer_11,Primary_Market_Code_1,Material_Type_1,3307.155
2021,October,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3305.209
2020,June,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3302.445
2020,January,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3294.525
2018,May,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3289.956
2021,May,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,3280.74
2021,March,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_2,3279.6205
2018,August,Plant_1,Customer_24,Primary_Market_Code_2,Material_Type_2,3265.7765
2021,August,Plant_1,Customer_14,Primary_Market_Code_7,Material_Type_1,3260.915
2021,February,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,3256.3965
2018,November,Plant_1,Customer_25,Primary_Market_Code_1,Material_Type_1,3254.8945
2021,June,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3245.13
2020,July,Plant_3,Customer_28,Primary_Market_Code_2,Material_Type_6,3239.815
2019,March,Plant_3,Customer_17,Primary_Market_Code_2,Material_Type_5,3234.158921
2020,September,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3233.62
2019,December,Plant_1,Customer_12,Primary_Market_Code_1,Material_Type_1,3232.3
2021,April,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,3226.648
2021,October,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3226.16
2021,December,Plant_7,Customer_2,Primary_Market_Code_2,Material_Type_2,3221.808609
2020,July,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3221.2425
2021,November,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3218.52
2021,September,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3211.66
2020,April,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,3202.23
2022,February,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,3200.25468
2021,March,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3192.1425
2019,June,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,3186.8295
2021,September,Plant_1,Customer_14,Primary_Market_Code_7,Material_Type_1,3177.14
2020,November,Plant_1,Customer_22,Primary_Market_Code_1,Material_Type_1,3172.7925
2021,October,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,3167.915
2021,October,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,3167.089
2021,September,Plant_1,Customer_10,Primary_Market_Code_1,Material_Type_1,3166.455
2021,June,Plant_4,Customer_3,Primary_Market_Code_2,Material_Type_1,3161.25
2018,August,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,3157.796
2019,December,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,3154.09
